New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
Bronx County 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,6.6%,6.2%,5.7%,5%,5.6%,5.6%,6.1%,5.9%,,,,,,
2018,6.4%,6.4%,6%,5.3%,5%,5.7%,6.1%,6%,5.2%,5.3%,5.1%,5.5%,5.7%,
2017,6.9%,6.8%,6.2%,5.8%,5.9%,6.2%,6.9%,7%,6.2%,6%,5.8%,5.7%,6.3%,
2016,7.7%,7.5%,7.4%,6.7%,6.4%,7.1%,7.7%,7.7%,7.2%,7.2%,6.5%,6.3%,7.1%,
2015,9.3%,9%,8.2%,7.7%,7.8%,7.6%,7.9%,7.4%,6.8%,7.2%,7.3%,7.1%,7.8%,
2014,11.2%,11.4%,11%,9.5%,9.7%,9.7%,10.2%,9.8%,8.8%,8.9%,9%,8.5%,9.8%,
2013,13%,12.5%,11.7%,10.9%,11.4%,12.1%,12.3%,12.1%,11.6%,11.9%,11.1%,10.6%,11.8%,
2012,13.2%,13.5%,12.9%,11.8%,12.1%,12.8%,13.2%,12.6%,11.8%,12.1%,11.4%,11.9%,12.4%,
2011,12.3%,12%,11.4%,11%,11.1%,11.9%,12.3%,12.1%,12.2%,12.4%,12.1%,12.3%,11.9%,
2010,12.8%,12.6%,12.3%,11.8%,11.4%,11.7%,12.3%,12%,11.7%,11.7%,11.9%,11.5%,12%,
2009,10.5%,11.1%,11%,10.5%,11.1%,12%,12.6%,12.8%,13%,13.4%,13%,13.3%,12%,
2008,7.6%,7.3%,6.9%,6.1%,6.7%,6.9%,7.6%,8%,7.8%,8.3%,8.4%,9.1%,7.6%,
2007,7.2%,6.9%,6.3%,6.1%,6.3%,6.9%,7.7%,7.2%,6.8%,6.9%,6.6%,6.9%,6.8%,
2006,7.4%,7.6%,7%,6.7%,6.4%,6.4%,7.2%,6.6%,6.2%,6%,6.2%,6%,6.7%,
2005,8.1%,8.2%,7.4%,7.2%,7%,7.1%,7.7%,7.2%,7.9%,7.8%,8.1%,7.1%,7.6%,
2004,11.2%,10.7%,10.6%,9.3%,8.9%,9.3%,9.4%,8.6%,8.3%,8.3%,8%,7.9%,9.2%,
2003,11.4%,11.1%,10.5%,10.1%,9.9%,10.6%,10.7%,10.6%,10.6%,10.8%,10.8%,10.2%,10.6%,
2002,9.8%,9.7%,9.7%,9.5%,9.2%,9.5%,9.7%,9.5%,9.2%,10%,10.5%,10.6%,9.7%,
2001,7.1%,7%,6.8%,6.2%,6%,6.3%,6.8%,7.5%,7.6%,8.4%,8.7%,8.9%,7.3%,
2000,7.8%,7.8%,7.8%,6.9%,7%,6.6%,7.3%,7.1%,6.8%,6.9%,6.9%,6.4%,7.1%,

1999,9.2%,9.2%,8.3%,7.9%,7.6%,8.2%,8.7%,8.3%,8.1%,8%,7.5%,6.9%,8.2%,
1998,11.2%,11.1%,10.9%,9.3%,9.4%,9.6%,10%,9.5%,9.7%,10%,9.5%,8.9%,9.9%,
1997,12.6%,12.8%,12.9%,11.9%,11.8%,12.1%,12.1%,11.4%,11.3%,11.1%,10.5%,10.1%,11.7%,
1996,10.1%,10.2%,10.6%,10.1%,10.5%,10%,10.8%,10.2%,10.1%,11.1%,11.6%,11.5%,10.6%,
1995,9.6%,9.5%,9.6%,9.7%,9.4%,9.4%,10%,9.8%,9.6%,9.6%,9.5%,9.3%,9.6%,
1994,11.9%,11.6%,11.2%,10.5%,9.7%,9.9%,10.4%,10%,9.4%,9.7%,9.1%,8.3%,10.2%,
1993,14.2%,13.5%,12.7%,11.8%,11.9%,12%,12.6%,11.7%,11.4%,12.1%,11.5%,11%,12.2%,
1992,12.1%,12.6%,12.2%,11.6%,12.5%,13.5%,14%,14.1%,13.8%,13.8%,13.9%,13.4%,13.1%,
1991,9.2%,9.5%,9.9%,9.6%,10.4%,10.4%,10.7%,10.8%,10.5%,10.9%,11.8%,11.3%,10.4%,
1990,8.4%,8.7%,8.3%,7.8%,8.1%,7.8%,8.5%,8.5%,8.7%,8.9%,9.2%,8.4%,8.5%,
LABOR FORCE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,605800,607200,606400,600100,599300,599800,603900,601400,,,,,,
2018,605400,613100,610000,603200,600400,604800,611100,604500,601300,605900,604600,606200,605900,
