,Month,value,variable,rate
24,1,6.90,2017,8463
25,2,6.80,2017,7295
26,3,6.20,2017,8801
27,4,5.80,2017,8578
28,5,5.90,2017,9373
29,6,6.20,2017,9260
30,7,6.90,2017,9686
31,8,7,2017,9845
32,9,6.20,2017,9410
33,10,6,2017,9638
34,11,5.80,2017,8389
35,12,5.70,2017,7279
12,1,6.40,2018,7265
13,2,6.40,2018,6754
14,3,6,2018,8177
15,4,5.30,2018,8481
16,5,5,2018,9314
17,6,5.70,2018,8880
18,7,6.10,2018,9689
19,8,6,2018,10009
20,9,5.20,2018,9378
21,10,5.30,2018,9092
22,11,5.10,2018,8207
23,12,5.50,2018,7704
0,1,6.60,2019,NaN
1,2,6.20,2019,NaN
2,3,5.70,2019,NaN
3,4,5,2019,NaN
4,5,5.60,2019,NaN
5,6,5.60,2019,NaN
6,7,6.10,2019,NaN
7,8,5.90,2019,NaN
8,9,5.2,2019,NaN
9,10,5.3,2019,NaN
10,11,5.1,2019,NaN
11,12,5.5,2019,NaN
0,1,6.6,2020,NaN
1,2,6.2,2020,NaN
2,3,5.7,2020,NaN
3,4,5.0,2020,NaN
4,5,5.6,2020,NaN
5,6,5.6,2020,NaN
6,7,6.1,2020,NaN
7,8,5.9,2020,NaN
8,9,5.2,2020,NaN
9,10,5.3,2020,NaN
10,11,5.1,2020,NaN
11,12,5.5,2020,NaN
12,1,6.6,2021,NaN
13,2,6.2,2021,NaN
14,3,5.7,2021,NaN
15,4,5.0,2021,NaN
16,5,5.6,2021,NaN
17,6,5.6,2021,NaN
18,7,6.1,2021,NaN
19,8,5.9,2021,NaN
20,9,5.2,2021,NaN
21,10,5.3,2021,NaN
22,11,5.1,2021,NaN
23,12,5.5,2021,NaN
24,1,6.6,2022,NaN
25,2,6.2,2022,NaN
26,3,5.7,2022,NaN
27,4,5.0,2022,NaN
28,5,5.6,2022,NaN
29,6,5.6,2022,NaN
30,7,6.1,2022,NaN
31,8,5.9,2022,NaN
32,9,5.2,2022,NaN
33,10,5.3,2022,NaN
34,11,5.1,2022,NaN
35,12,5.5,2022,NaN
