,Month,variable,value,rate
12,1,2018,6.4,7265.0
13,2,2018,6.4,6754.0
14,3,2018,6.0,8177.0
15,4,2018,5.3,8481.0
16,5,2018,5.0,9314.0
17,6,2018,5.7,8880.0
18,7,2018,6.1,9689.0
19,8,2018,6.0,10009.0
20,9,2018,5.2,9378.0
21,10,2018,5.3,9092.0
22,11,2018,5.1,8207.0
23,12,2018,5.5,7704.0
24,1,2017,6.9,8463.0
25,2,2017,6.8,7295.0
26,3,2017,6.2,8801.0
27,4,2017,5.8,8578.0
28,5,2017,5.9,9373.0
29,6,2017,6.2,9260.0
30,7,2017,6.9,9686.0
31,8,2017,7.0,9845.0
32,9,2017,6.2,9410.0
33,10,2017,6.0,9638.0
34,11,2017,5.8,8389.0
35,12,2017,5.7,7279.0
0,9,2019,5.342001146789017,9092.0
1,10,2019,5.2643061926605705,9092.0
2,11,2019,5.186611238532123,8207.0
3,12,2019,5.1089162844036755,7704.0
4,1,2019,6.6,7265.0
5,2,2019,6.2,6754.0
6,3,2019,5.7,8177.0
7,4,2019,5.0,8481.0
8,5,2019,5.6,8578.0
9,6,2019,5.6,8880.0
10,7,2019,6.1,9689.0
11,8,2019,5.9,10009.0
