,Month,value,variable,rate
48,1,4.7,2018,10501.0
49,2,4.7,2018,8922.0
50,3,4.4,2018,11223.0
51,4,4.0,2018,11742.0
52,5,3.7,2018,12882.0
53,6,4.3,2018,12518.0
54,7,4.5,2018,13175.0
55,8,4.5,2018,13440.0
56,9,4.0,2018,12220.0
57,10,4.1,2018,11843.0
58,11,3.8,2018,11245.0
59,12,4.1,2018,10641.0
60,1,5.1,2017,11629.0
61,2,5.1,2017,10390.0
62,3,4.5,2017,12223.0
63,4,4.3,2017,12148.0
64,5,4.5,2017,13407.0
65,6,4.7,2017,12739.0
66,7,5.3,2017,13944.0
67,8,5.3,2017,13657.0
68,9,4.7,2017,12877.0
69,10,4.5,2017,13529.0
70,11,4.2,2017,11227.0
71,12,4.1,2017,10683.0
0,9,4.074569954128435,2019,11843.0
1,10,4.020177752293591,2019,12220.0
2,11,3.9657855504586905,2019,12220.0
3,12,3.911393348623847,2019,10641.0
4,1,4.312704510703384,2020,10501.0
5,2,4.258312308868483,2020,8922.0
6,3,4.203920107033639,2020,11223.0
7,4,4.149527905198795,2020,11742.0
8,5,4.095135703363893,2020,11742.0
9,6,4.04074350152905,2020,11742.0
10,7,3.9863512996942063,2020,12220.0
11,8,3.9319590978593055,2020,12220.0
12,9,3.8775668960244616,2020,12220.0
13,10,3.8231746941896176,2020,11245.0
14,11,3.768782492354717,2020,11245.0
15,12,3.714390290519873,2020,11245.0
16,1,4.11570145259941,2021,10501.0
17,2,4.061309250764509,2021,11742.0
18,3,4.006917048929665,2021,11742.0
19,4,3.952524847094821,2021,11742.0
20,5,3.898132645259921,2021,11742.0
21,6,3.8437404434250766,2021,12882.0
22,7,3.7893482415902326,2021,12882.0
23,8,3.734956039755332,2021,12882.0
24,9,3.680563837920488,2021,12220.0
25,10,3.626171636085644,2021,11245.0
26,11,3.571779434250743,2021,11245.0
27,12,3.5173872324158992,2021,11245.0
28,1,3.918698394495436,2022,11742.0
29,2,3.864306192660536,2022,11742.0
30,3,3.809913990825692,2022,12882.0
31,4,3.755521788990848,2022,12882.0
32,5,3.7011295871559464,2022,12882.0
33,6,3.646737385321103,2022,12882.0
34,7,3.592345183486259,2022,12882.0
35,8,3.537952981651358,2022,12882.0
36,9,3.4835607798165142,2022,12220.0
37,10,3.4291685779816703,2022,11245.0
38,11,3.374776376146769,2022,11245.0
39,12,3.3203841743119256,2022,11245.0
40,1,5.0,2019,10501.0
41,2,4.7,2019,8922.0
42,3,4.3,2019,11223.0
43,4,3.8,2019,12882.0
44,5,4.3,2019,12518.0
45,6,4.4,2019,12518.0
46,7,4.6,2019,13175.0
47,8,4.5,2019,13440.0
