Year,Jan%,Feb%,Mar%,Apr%,May%,Jun%,Jul%,Aug%,Sep%,Oct%,Nov%,Dec%,Ann Avg%,Jan_LF,Feb_LF,Mar_LF,Apr_LF,May_LF,Jun_LF,Jul_LF,Aug_LF,Sep_LF,Oct_LF,Nov_LF,Dec_LF,Ann Avg_LF,Jan_E,Feb_E,Mar_E,Apr_E,May_E,Jun_E,Jul_E,Aug_E,Sep_E,Oct_E,Nov_E,Dec_E,Ann Avg_E,Jan_UN,Feb_UN,Mar_UN,Apr_UN,May_UN,Jun_UN,Jul_UN,Aug_UN,Sep_UN,Oct_UN,Nov_UN,Dec_UN,Ann Avg_UN
2019,4.40%,4.10%,3.70%,3.30%,3.80%,3.80%,3.90%,3.80%,,,,,,914600,919200,921000,913900,911300,911000,912700,908600,,,,,,874700,881900,886600,883600,876900,876100,877000,874200,,,,,,39900,37300,34300,30300,34400,34900,35700,34400,,,,,
2018,4.10%,4.10%,3.90%,3.50%,3.30%,3.80%,3.80%,3.80%,3.40%,3.50%,3.30%,3.60%,3.70%,914900,927000,924800,917900,914900,918300,924400,914000,914900,921200,917900,919100,919100,877300,888700,889000,885900,885000,883700,889300,879700,883500,888500,887200,886400,885400,37600,38300,35700,31900,29900,34600,35100,34300,31400,32700,30700,32700,33800
2017,4.50%,4.40%,4%,3.80%,3.90%,4.10%,4.40%,4.50%,4.10%,3.90%,3.70%,3.60%,4.10%,918600,926900,925600,920800,919200,920000,927400,921400,923900,920900,916000,914100,921200,877000,885700,888700,886100,883000,882600,886300,879600,885900,884600,882300,880800,883600,41600,41200,36800,34700,36300,37400,41100,41800,38000,36300,33800,33300,37700
2016,4.80%,4.80%,4.70%,4.20%,4%,4.50%,4.90%,4.90%,4.80%,4.70%,4.20%,4%,4.60%,915500,922800,922800,914400,909600,913200,921500,917800,918900,919700,913900,911300,916800,871100,878600,879600,875600,872900,871900,876500,872700,874900,876300,875700,874500,875000,44400,44200,43200,38800,36700,41300,45000,45100,44100,43400,38300,36800,41800
2015,5.80%,5.60%,5.10%,4.80%,5%,4.80%,4.90%,4.70%,4.30%,4.50%,4.50%,4.40%,4.90%,910000,913600,910500,908500,911000,908100,913600,908000,903900,910600,909800,911000,909900,856900,862800,864200,864500,865800,864500,868500,865600,864600,869700,869000,870700,865600,53000,50700,46300,44000,45200,43600,45000,42500,39300,40900,40800,40400,44300
2014,7%,7.10%,6.80%,5.80%,6.20%,6.20%,6.40%,6.20%,5.60%,5.60%,5.50%,5.20%,6.10%,897700,906100,907100,897700,901800,903600,911300,906900,903700,910700,908300,905000,905000,834600,842100,845900,845200,846100,848000,852800,850600,853100,859900,858300,858400,849600,63100,64000,61300,52500,55700,55600,58500,56300,50700,50800,50000,46600,55400
2013,8.60%,8.10%,7.40%,7%,7.40%,7.80%,7.80%,7.70%,7.40%,7.60%,6.90%,6.50%,7.50%,901000,901800,898700,897800,902300,906800,913800,908200,908100,909000,907200,903600,904900,823800,829200,832200,835300,835900,835900,842300,838500,840800,840100,844300,844600,836900,77200,72600,66500,62500,66400,70900,71500,69700,67300,68900,62800,59100,68000
2012,8.70%,8.70%,8.30%,7.60%,8%,8.40%,8.40%,8.10%,7.50%,7.80%,7.20%,7.60%,8%,887600,895700,894700,888400,895000,897300,899100,893800,895400,901900,893400,897600,895000,810600,817400,820700,820900,823400,822200,823400,821500,827900,831900,828700,829000,823100,77000,78300,74000,67500,71500,75100,75700,72400,67500,70000,64700,68600,71900
2011,8.20%,8%,7.40%,7.10%,7.40%,7.80%,7.80%,7.90%,7.90%,8.20%,8%,8.10%,7.80%,875600,879600,879000,877200,877600,877500,883300,884900,885800,889900,888100,888300,882200,803900,809400,813700,814600,813100,809200,814100,815100,815500,817200,817000,816600,813300,71700,70200,65200,62600,64500,68200,69200,69800,70300,72600,71100,71700,68900
2010,9.80%,9.50%,9.20%,8.60%,8.40%,8.40%,8.60%,8.40%,8.20%,8.10%,8.10%,7.70%,8.60%,883100,886700,885900,887900,881900,879000,883900,881400,879200,878100,875500,871700,881200,796900,802200,804500,811200,807900,805300,808000,807700,807400,806700,804200,804800,805600,86300,84600,81400,76800,74000,73700,76000,73600,71900,71400,71300,66900,75600
