,Month,value,variable,rate
24,1,4.50,2017,8955
25,2,4.40,2017,8088
26,3,4,2017,9341
27,4,3.80,2017,9019
28,5,3.90,2017,10391
29,6,4.10,2017,10058
30,7,4.40,2017,10277
31,8,4.50,2017,10235
32,9,4.10,2017,9876
33,10,3.90,2017,10018
34,11,3.70,2017,8827
35,12,3.60,2017,8011
12,1,4.10,2018,8181
13,2,4.10,2018,7527
14,3,3.90,2018,8888
15,4,3.50,2018,9417
16,5,3.30,2018,9950
17,6,3.80,2018,9583
18,7,3.80,2018,10308
19,8,3.80,2018,10251
20,9,3.40,2018,9597
21,10,3.50,2018,9619
22,11,3.30,2018,8755
23,12,3.60,2018,8504
0,1,4.40,2019,NaN
1,2,4.10,2019,NaN
2,3,3.70,2019,NaN
3,4,3.30,2019,NaN
4,5,3.80,2019,NaN
5,6,3.80,2019,NaN
6,7,3.90,2019,NaN
7,8,3.80,2019,NaN
8,9,3.4,2019,NaN
9,10,3.5,2019,NaN
10,11,3.3,2019,NaN
11,12,3.6,2019,NaN
0,1,4.4,2020,NaN
1,2,4.1,2020,NaN
2,3,3.7,2020,NaN
3,4,3.3,2020,NaN
4,5,3.8,2020,NaN
5,6,3.8,2020,NaN
6,7,3.9,2020,NaN
7,8,3.8,2020,NaN
8,9,3.4,2020,NaN
9,10,3.5,2020,NaN
10,11,3.3,2020,NaN
11,12,3.6,2020,NaN
12,1,4.4,2021,NaN
13,2,4.1,2021,NaN
14,3,3.7,2021,NaN
15,4,3.3,2021,NaN
16,5,3.8,2021,NaN
17,6,3.8,2021,NaN
18,7,3.9,2021,NaN
19,8,3.8,2021,NaN
20,9,3.4,2021,NaN
21,10,3.5,2021,NaN
22,11,3.3,2021,NaN
23,12,3.6,2021,NaN
24,1,4.4,2022,NaN
25,2,4.1,2022,NaN
26,3,3.7,2022,NaN
27,4,3.3,2022,NaN
28,5,3.8,2022,NaN
29,6,3.8,2022,NaN
30,7,3.9,2022,NaN
31,8,3.8,2022,NaN
32,9,3.4,2022,NaN
33,10,3.5,2022,NaN
34,11,3.3,2022,NaN
35,12,3.6,2022,NaN
