,Month,variable,value,rate
12,1,2018,4.1,8181.0
13,2,2018,4.1,7527.0
14,3,2018,3.9,8888.0
15,4,2018,3.5,9417.0
16,5,2018,3.3,9950.0
17,6,2018,3.8,9583.0
18,7,2018,3.8,10308.0
19,8,2018,3.8,10251.0
20,9,2018,3.4,9597.0
21,10,2018,3.5,9619.0
22,11,2018,3.3,8755.0
23,12,2018,3.6,8504.0
24,1,2017,4.5,8955.0
25,2,2017,4.4,8088.0
26,3,2017,4.0,9341.0
27,4,2017,3.8,9019.0
28,5,2017,3.9,10391.0
29,6,2017,4.1,10058.0
30,7,2017,4.4,10277.0
31,8,2017,4.5,10235.0
32,9,2017,4.1,9876.0
33,10,2017,3.9,10018.0
34,11,2017,3.7,8827.0
35,12,2017,3.6,8011.0
0,9,2019,3.4978784403669465,9597.0
1,10,2019,3.443543577981643,9597.0
2,11,2019,3.3892087155963395,9597.0
3,12,2019,3.3348738532109783,9597.0
4,1,2019,4.4,8088.0
5,2,2019,4.1,7527.0
6,3,2019,3.7,8888.0
7,4,2019,3.3,9417.0
8,5,2019,3.8,9583.0
9,6,2019,3.8,9583.0
10,7,2019,3.9,10308.0
11,8,2019,3.8,10251.0
