,Month,value,variable,rate
24,1,5.10,2017,1811
25,2,5.10,2017,1518
26,3,4.50,2017,1907
27,4,4.30,2017,1934
28,5,4.40,2017,2099
29,6,4.70,2017,2113
30,7,5.40,2017,1971
31,8,5.40,2017,2066
32,9,4.60,2017,2023
33,10,4.40,2017,1925
34,11,4.10,2017,1775
35,12,4,2017,1569
12,1,4.60,2018,1531
13,2,4.60,2018,1364
14,3,4.30,2018,1910
15,4,3.90,2018,1773
16,5,3.60,2018,2010
17,6,4.20,2018,1935
18,7,4.60,2018,2008
19,8,4.50,2018,1998
20,9,3.90,2018,1884
21,10,3.90,2018,1950
22,11,3.70,2018,1674
23,12,3.90,2018,1677
0,1,4.80,2019,NaN
1,2,4.50,2019,NaN
2,3,4.10,2019,NaN
3,4,3.60,2019,NaN
4,5,4.10,2019,NaN
5,6,4.10,2019,NaN
6,7,4.60,2019,NaN
7,8,4.40,2019,NaN
8,9,3.9,2019,NaN
9,10,3.9,2019,NaN
10,11,3.7,2019,NaN
11,12,3.9,2019,NaN
0,1,4.8,2020,NaN
1,2,4.5,2020,NaN
2,3,4.1,2020,NaN
3,4,3.6,2020,NaN
4,5,4.1,2020,NaN
5,6,4.1,2020,NaN
6,7,4.6,2020,NaN
7,8,4.4,2020,NaN
8,9,3.9,2020,NaN
9,10,3.9,2020,NaN
10,11,3.7,2020,NaN
11,12,3.9,2020,NaN
12,1,4.8,2021,NaN
13,2,4.5,2021,NaN
14,3,4.1,2021,NaN
15,4,3.6,2021,NaN
16,5,4.1,2021,NaN
17,6,4.1,2021,NaN
18,7,4.6,2021,NaN
19,8,4.4,2021,NaN
20,9,3.9,2021,NaN
21,10,3.9,2021,NaN
22,11,3.7,2021,NaN
23,12,3.9,2021,NaN
24,1,4.8,2022,NaN
25,2,4.5,2022,NaN
26,3,4.1,2022,NaN
27,4,3.6,2022,NaN
28,5,4.1,2022,NaN
29,6,4.1,2022,NaN
30,7,4.6,2022,NaN
31,8,4.4,2022,NaN
32,9,3.9,2022,NaN
33,10,3.9,2022,NaN
34,11,3.7,2022,NaN
35,12,3.9,2022,NaN
