Year,Jan%,Feb%,Mar%,Apr%,May%,Jun%,Jul%,Aug%,Sep%,Oct%,Nov%,Dec%,Ann Avg%,Jan_LF,Feb_LF,Mar_LF,Apr_LF,May_LF,Jun_LF,Jul_LF,Aug_LF,Sep_LF,Oct_LF,Nov_LF,Dec_LF,Ann Avg_LF,Jan_E,Feb_E,Mar_E,Apr_E,May_E,Jun_E,Jul_E,Aug_E,Sep_E,Oct_E,Nov_E,Dec_E,Ann Avg_E,Jan_UN,Feb_UN,Mar_UN,Apr_UN,May_UN,Jun_UN,Jul_UN,Aug_UN,Sep_UN,Oct_UN,Nov_UN,Dec_UN,Ann Avg_UN
2019,6.60%,6.20%,5.70%,5%,5.60%,5.60%,6.10%,5.90%,,,,,,605800,607200,606400,600100,599300,599800,603900,601400,,,,,,565600,569700,572000,570200,565900,566200,567100,565700,,,,,,40100,37500,34400,29900,33300,33500,36700,35700,,,,,
2018,6.40%,6.40%,6%,5.30%,5%,5.70%,6.10%,6%,5.20%,5.30%,5.10%,5.50%,5.70%,605400,613100,610000,603200,600400,604800,611100,604500,601300,605900,604600,606200,605900,566400,573700,573500,571000,570500,570400,574100,568400,570300,573700,573500,573100,571500,39000,39400,36500,32200,29900,34400,37000,36100,31000,32200,31100,33100,34300
2017,6.90%,6.80%,6.20%,5.80%,5.90%,6.20%,6.90%,7%,6.20%,6%,5.80%,5.70%,6.30%,608200,613000,610600,606800,605100,607200,615000,611300,609300,607200,604500,603400,608500,565900,571200,572900,571600,569400,569400,572300,568600,571800,570900,569500,568900,570200,42300,41800,37700,35200,35700,37800,42600,42700,37500,36300,35100,34500,38300
2016,7.70%,7.50%,7.40%,6.70%,6.40%,7.10%,7.70%,7.70%,7.20%,7.20%,6.50%,6.30%,7.10%,608800,613800,613300,606500,602400,606700,614400,611700,609800,610500,604700,603000,608800,562200,567500,568000,565700,564000,563700,567000,564900,565600,566400,565400,565000,565400,46600,46300,45300,40900,38400,43000,47300,46800,44200,44200,39300,38100,43400
2015,9.30%,9%,8.20%,7.70%,7.80%,7.60%,7.90%,7.40%,6.80%,7.20%,7.30%,7.10%,7.80%,609800,612200,607600,604500,605700,603700,608600,603500,599400,605200,604600,605000,605800,552800,557300,557700,558100,558500,557900,560600,558600,558600,561800,560700,561800,558700,56900,54900,49900,46400,47300,45800,48100,44900,40800,43400,43900,43200,47100
2014,11.20%,11.40%,11%,9.50%,9.70%,9.70%,10.20%,9.80%,8.80%,8.90%,9%,8.50%,9.80%,602700,609500,609000,599000,600400,600900,608000,604200,599700,605000,604600,601000,603700,535300,540100,542100,542000,542200,542900,546200,545100,547000,551300,550200,550100,544500,67500,69500,66900,56900,58100,58100,61700,59100,52700,53700,54500,51000,59100
2013,13%,12.50%,11.70%,10.90%,11.40%,12.10%,12.30%,12.10%,11.60%,11.90%,11.10%,10.60%,11.80%,603400,603600,599700,596600,599700,603700,609800,606700,605300,606800,604600,601500,603500,524800,528100,529600,531400,531300,530500,535000,533200,535000,534900,537400,537900,532400,78600,75500,70100,65200,68400,73300,74800,73500,70400,72000,67200,63600,71000
2012,13.20%,13.50%,12.90%,11.80%,12.10%,12.80%,13.20%,12.60%,11.80%,12.10%,11.40%,11.90%,12.40%,592400,598900,597100,589100,592300,594900,599500,594600,593700,598600,592300,595900,594900,514300,518300,519800,519800,520500,519000,520600,519800,523700,526400,524600,525000,521000,78200,80600,77300,69300,71800,75900,78900,74800,70000,72200,67700,70800,74000
2011,12.30%,12%,11.40%,11%,11.10%,11.90%,12.30%,12.10%,12.20%,12.40%,12.10%,12.30%,11.90%,580900,582800,581100,578900,578200,580000,586700,586800,587300,590100,589200,590300,584400,509600,512600,514900,515400,513800,511100,514700,515600,515700,516900,517700,517500,514600,71300,70100,66200,63400,64400,68900,72000,71200,71600,73200,71500,72800,69700
2010,12.80%,12.60%,12.30%,11.80%,11.40%,11.70%,12.30%,12%,11.70%,11.70%,11.90%,11.50%,12%,581900,583900,583600,584900,580400,580000,586000,583700,580900,581400,581200,579400,582300,507300,510100,511800,516000,514200,511900,513900,513500,512900,513200,512300,512700,512500,74600,73800,71800,68900,66200,68100,72200,70300,68000,68200,69000,66700,69800
2009,10.50%,11.10%,11%,10.50%,11.10%,12%,12.60%,12.80%,13%,13.40%,13%,13.30%,12%,531500,534600,531200,527800,527600,532600,541500,539600,534900,536800,534800,533500,533900,475900,475300,472900,472500,468800,468700,473100,470400,465400,464900,465100,462400,469600,55600,59300,58400,55200,58800,63900,68400,69200,69500,71900,69700,71000,64200
2008,7.60%,7.30%,6.90%,6.10%,6.70%,6.90%,7.60%,8%,7.80%,8.30%,8.40%,9.10%,7.60%,521100,521100,520300,517300,517300,520000,527500,528000,525800,529500,528000,528900,523700,481600,483200,484400,485600,482900,484100,487400,485500,484600,485700,483800,480900,484100,39500,37900,35900,31700,34400,35900,40100,42400,41300,43900,44100,48000,39600
2007,7.20%,6.90%,6.30%,6.10%,6.30%,6.90%,7.70%,7.20%,6.80%,6.90%,6.60%,6.90%,6.80%,511500,511900,510200,506700,506600,511500,519200,514000,512300,514800,515300,515700,512500,474500,476700,478200,475600,474500,476200,479300,476900,477400,479100,481200,480200,477500,37000,35200,32000,31100,32100,35300,39900,37100,34900,35700,34100,35500,35000
2006,7.40%,7.60%,7%,6.70%,6.40%,6.40%,7.20%,6.60%,6.20%,6%,6.20%,6%,6.70%,504000,507800,505800,503500,501400,503200,510300,506500,502700,505200,506900,507200,505400,466900,468900,470300,469800,469300,470800,473400,472800,471700,475100,475300,476600,471700,37200,38800,35500,33700,32200,32400,36900,33700,30900,30100,31600,30600,33600
2005,8.10%,8.20%,7.40%,7.20%,7%,7.10%,7.70%,7.20%,7.90%,7.80%,8.10%,7.10%,7.60%,504000,506700,503800,503900,502400,503300,511500,509000,510100,511800,512100,508100,507200,463000,465200,466400,467800,467000,467600,471900,472200,469900,471900,470900,471800,468800,41000,41500,37400,36100,35400,35700,39600,36800,40200,39800,41300,36300,38400
2004,11.20%,10.70%,10.60%,9.30%,8.90%,9.30%,9.40%,8.60%,8.30%,8.30%,8%,7.90%,9.20%,496800,496800,500800,497700,496800,502400,510200,505900,502100,505600,505000,504700,502100,441100,443500,447800,451200,452600,455600,462300,462300,460600,463700,464400,464900,455800,55600,53300,53000,46400,44200,46800,47900,43600,41500,41900,40600,39800,46200
