Year,Jan%,Feb%,Mar%,Apr%,May%,Jun%,Jul%,Aug%,Sep%,Oct%,Nov%,Dec%,Ann Avg%,Jan_LF,Feb_LF,Mar_LF,Apr_LF,May_LF,Jun_LF,Jul_LF,Aug_LF,Sep_LF,Oct_LF,Nov_LF,Dec_LF,Ann Avg_LF,Jan_E,Feb_E,Mar_E,Apr_E,May_E,Jun_E,Jul_E,Aug_E,Sep_E,Oct_E,Nov_E,Dec_E,Ann Avg_E,Jan_UN,Feb_UN,Mar_UN,Apr_UN,May_UN,Jun_UN,Jul_UN,Aug_UN,Sep_UN,Oct_UN,Nov_UN,Dec_UN,Ann Avg_UN
2019,5%,4.70%,4.30%,3.80%,4.30%,4.40%,4.60%,4.50%,,,,,,1206800,1212700,1214500,1204200,1201500,1201200,1205800,1200100,,,,,,1146900,1156100,1162000,1158100,1149500,1148700,1149900,1146400,,,,,,59900,56600,52500,46000,52000,52500,56000,53700,,,,,
2018,4.70%,4.70%,4.40%,4%,3.70%,4.30%,4.50%,4.50%,4%,4.10%,3.80%,4.10%,4.20%,1206300,1222300,1218800,1209300,1204700,1210500,1220900,1207200,1205800,1214000,1209500,1211200,1211700,1149900,1164800,1165200,1160900,1159800,1158300,1165700,1153300,1158100,1164700,1163200,1162100,1160500,56400,57500,53600,48400,44900,52300,55200,53900,47700,49300,46300,49100,51200
2017,5.10%,5.10%,4.50%,4.30%,4.50%,4.70%,5.30%,5.30%,4.70%,4.50%,4.20%,4.10%,4.70%,1211700,1222600,1220100,1214100,1211600,1213800,1226600,1218300,1218800,1214500,1207400,1204600,1215300,1149500,1160700,1164600,1161300,1157200,1156800,1161800,1153300,1161300,1159500,1156400,1154700,1158100,62200,61800,55500,52800,54400,57000,64700,65000,57500,55000,51100,49900,57200
2016,5.70%,5.60%,5.50%,5%,4.80%,5.30%,5.90%,5.80%,5.50%,5.40%,4.80%,4.60%,5.30%,1216200,1225800,1225600,1214300,1207700,1213300,1226800,1221200,1220300,1220600,1211600,1207800,1217600,1147300,1157300,1158700,1153400,1150000,1148700,1154900,1150100,1152600,1154500,1153400,1152000,1152700,68900,68500,67000,60900,57700,64600,71900,71100,67700,66100,58200,55800,64900
2015,7.10%,6.80%,6.20%,5.90%,6%,5.80%,6.10%,5.70%,5.20%,5.40%,5.40%,5.30%,5.90%,1218000,1222600,1216700,1213100,1216100,1211900,1220700,1211800,1204400,1213900,1212700,1213900,1214600,1131500,1139500,1141200,1141500,1143100,1141500,1146800,1142900,1141900,1148600,1147400,1149600,1142900,86500,83100,75500,71500,73000,70500,74000,68900,62600,65300,65300,64300,71700
2014,8.70%,8.90%,8.50%,7.40%,7.70%,7.60%,8.10%,7.70%,6.90%,6.90%,6.90%,6.40%,7.60%,1206800,1219300,1219600,1204300,1209400,1210800,1223700,1216100,1209300,1218600,1215900,1209700,1213600,1101500,1111300,1116200,1115400,1116500,1118700,1125200,1122400,1125800,1134700,1132600,1132700,1121100,105300,108000,103400,88900,92900,92200,98600,93700,83500,83900,83300,77000,92600
2013,10.30%,9.90%,9.10%,8.60%,9.10%,9.70%,9.80%,9.70%,9.30%,9.50%,8.80%,8.30%,9.40%,1206600,1207900,1202200,1200300,1207400,1214100,1225900,1219300,1217400,1219000,1215000,1209000,1212000,1081800,1088800,1092600,1096500,1097100,1096800,1105300,1100500,1103800,1103000,1108600,1109000,1098600,124800,119000,109600,103800,110300,117300,120600,118800,113700,116100,106400,100000,113400
2012,10.40%,10.50%,10%,9.20%,9.60%,10.10%,10.40%,9.90%,9.20%,9.50%,9.10%,9.40%,9.80%,1180400,1191800,1189900,1180100,1188500,1192200,1198200,1189600,1188900,1198800,1189000,1194300,1190100,1058000,1066700,1070800,1071000,1073900,1072000,1073700,1071500,1079900,1085100,1081200,1081600,1073800,122400,125100,119100,109100,114600,120200,124500,118000,109000,113700,107900,112700,116400
2011,9.80%,9.60%,9.10%,8.80%,9%,9.60%,9.90%,9.80%,9.70%,9.90%,9.70%,9.80%,9.60%,1160600,1166200,1164800,1162800,1162600,1164100,1175400,1176500,1176000,1181100,1178600,1178700,1170600,1046800,1053800,1059300,1060400,1058100,1053000,1059400,1060900,1061400,1063700,1063800,1063300,1058700,113800,112300,105500,102400,104500,111200,115900,115600,114600,117400,114800,115500,112000
2010,10.80%,10.60%,10.30%,9.90%,9.60%,9.80%,10.20%,9.90%,9.60%,9.60%,9.70%,9.30%,9.90%,1161900,1167000,1166200,1170900,1162500,1160700,1170200,1166700,1161700,1161300,1158900,1154000,1163500,1036800,1043500,1046600,1055300,1051100,1047500,1051000,1050700,1050000,1049500,1046500,1047300,1048000,125100,123500,119600,115600,111400,113300,119200,116000,111600,111800,112400,106800,115500
