,Month,Unemp_rate,year,rate,model,borough
0,1,6.9,2017,8463.0,clfpoly2,BRONX
1,2,6.8,2017,7295.0,clfpoly2,BRONX
2,3,6.2,2017,8801.0,clfpoly2,BRONX
3,4,5.8,2017,8578.0,clfpoly2,BRONX
4,5,5.9,2017,9373.0,clfpoly2,BRONX
5,6,6.2,2017,9260.0,clfpoly2,BRONX
6,7,6.9,2017,9686.0,clfpoly2,BRONX
7,8,7.0,2017,9845.0,clfpoly2,BRONX
8,9,6.2,2017,9410.0,clfpoly2,BRONX
9,10,6.0,2017,9638.0,clfpoly2,BRONX
10,11,5.8,2017,8389.0,clfpoly2,BRONX
11,12,5.7,2017,7279.0,clfpoly2,BRONX
12,1,6.4,2018,7265.0,clfpoly2,BRONX
13,2,6.4,2018,6754.0,clfpoly2,BRONX
14,3,6.0,2018,8177.0,clfpoly2,BRONX
15,4,5.3,2018,8481.0,clfpoly2,BRONX
16,5,5.0,2018,9314.0,clfpoly2,BRONX
17,6,5.7,2018,8880.0,clfpoly2,BRONX
18,7,6.1,2018,9689.0,clfpoly2,BRONX
19,8,6.0,2018,10009.0,clfpoly2,BRONX
20,9,5.2,2018,9378.0,clfpoly2,BRONX
21,10,5.3,2018,9092.0,clfpoly2,BRONX
22,11,5.1,2018,8207.0,clfpoly2,BRONX
23,12,5.5,2018,7704.0,clfpoly2,BRONX
24,1,6.6,2019,6862.0,clfpoly2,BRONX
25,2,6.2,2019,7438.0,clfpoly2,BRONX
26,3,5.7,2019,7928.0,clfpoly2,BRONX
27,4,5.0,2019,8393.0,clfpoly2,BRONX
28,5,5.6,2019,8897.0,clfpoly2,BRONX
29,6,5.6,2019,9165.0,clfpoly2,BRONX
30,7,6.1,2019,9337.0,clfpoly2,BRONX
31,8,5.9,2019,9242.0,clfpoly2,BRONX
32,9,5.2,2019,9101.0,clfpoly2,BRONX
33,10,5.3,2019,8748.0,clfpoly2,BRONX
34,11,5.1,2019,8330.0,clfpoly2,BRONX
35,12,5.5,2019,7548.0,clfpoly2,BRONX
36,1,6.6,2020,6702.0,clfpoly2,BRONX
37,2,6.2,2020,7279.0,clfpoly2,BRONX
38,3,5.7,2020,7770.0,clfpoly2,BRONX
39,4,5.0,2020,8236.0,clfpoly2,BRONX
40,5,5.6,2020,8740.0,clfpoly2,BRONX
41,6,5.6,2020,9009.0,clfpoly2,BRONX
42,7,6.1,2020,9181.0,clfpoly2,BRONX
43,8,5.9,2020,9087.0,clfpoly2,BRONX
44,9,5.2,2020,8947.0,clfpoly2,BRONX
45,10,5.3,2020,8594.0,clfpoly2,BRONX
46,11,5.1,2020,8177.0,clfpoly2,BRONX
47,12,5.5,2020,7396.0,clfpoly2,BRONX
48,1,6.6,2021,6541.0,clfpoly2,BRONX
49,2,6.2,2021,7119.0,clfpoly2,BRONX
50,3,5.7,2021,7611.0,clfpoly2,BRONX
51,4,5.0,2021,8079.0,clfpoly2,BRONX
52,5,5.6,2021,8583.0,clfpoly2,BRONX
53,6,5.6,2021,8852.0,clfpoly2,BRONX
54,7,6.1,2021,9025.0,clfpoly2,BRONX
55,8,5.9,2021,8932.0,clfpoly2,BRONX
56,9,5.2,2021,8793.0,clfpoly2,BRONX
57,10,5.3,2021,8441.0,clfpoly2,BRONX
58,11,5.1,2021,8025.0,clfpoly2,BRONX
59,12,5.5,2021,7244.0,clfpoly2,BRONX
60,1,6.6,2022,6380.0,clfpoly2,BRONX
61,2,6.2,2022,6959.0,clfpoly2,BRONX
62,3,5.7,2022,7452.0,clfpoly2,BRONX
63,4,5.0,2022,7921.0,clfpoly2,BRONX
64,5,5.6,2022,8426.0,clfpoly2,BRONX
65,6,5.6,2022,8696.0,clfpoly2,BRONX
66,7,6.1,2022,8869.0,clfpoly2,BRONX
67,8,5.9,2022,8777.0,clfpoly2,BRONX
68,9,5.2,2022,8639.0,clfpoly2,BRONX
69,10,5.3,2022,8288.0,clfpoly2,BRONX
70,11,5.1,2022,7872.0,clfpoly2,BRONX
71,12,5.5,2022,7092.0,clfpoly2,BRONX
