,Month,Unemp_rate,year,rate,model,borough
0,1,6.9,2017,8463.0,dtc,BRONX
1,2,6.8,2017,7295.0,dtc,BRONX
2,3,6.2,2017,8801.0,dtc,BRONX
3,4,5.8,2017,8578.0,dtc,BRONX
4,5,5.9,2017,9373.0,dtc,BRONX
5,6,6.2,2017,9260.0,dtc,BRONX
6,7,6.9,2017,9686.0,dtc,BRONX
7,8,7.0,2017,9845.0,dtc,BRONX
8,9,6.2,2017,9410.0,dtc,BRONX
9,10,6.0,2017,9638.0,dtc,BRONX
10,11,5.8,2017,8389.0,dtc,BRONX
11,12,5.7,2017,7279.0,dtc,BRONX
12,1,6.4,2018,7265.0,dtc,BRONX
13,2,6.4,2018,6754.0,dtc,BRONX
14,3,6.0,2018,8177.0,dtc,BRONX
15,4,5.3,2018,8481.0,dtc,BRONX
16,5,5.0,2018,9314.0,dtc,BRONX
17,6,5.7,2018,8880.0,dtc,BRONX
18,7,6.1,2018,9689.0,dtc,BRONX
19,8,6.0,2018,10009.0,dtc,BRONX
20,9,5.2,2018,9378.0,dtc,BRONX
21,10,5.3,2018,9092.0,dtc,BRONX
22,11,5.1,2018,8207.0,dtc,BRONX
23,12,5.5,2018,7704.0,dtc,BRONX
24,1,6.6,2019,7265.0,dtc,BRONX
25,2,6.2,2019,6754.0,dtc,BRONX
26,3,5.7,2019,8329.0,dtc,BRONX
27,4,5.0,2019,8329.0,dtc,BRONX
28,5,5.6,2019,9207.0,dtc,BRONX
29,6,5.6,2019,9207.0,dtc,BRONX
30,7,6.1,2019,9648.0,dtc,BRONX
31,8,5.9,2019,9207.0,dtc,BRONX
32,9,5.2,2019,9207.0,dtc,BRONX
33,10,5.3,2019,9207.0,dtc,BRONX
34,11,5.1,2019,8207.0,dtc,BRONX
35,12,5.5,2019,7704.0,dtc,BRONX
36,1,6.6,2020,7265.0,dtc,BRONX
37,2,6.2,2020,6754.0,dtc,BRONX
38,3,5.7,2020,8329.0,dtc,BRONX
39,4,5.0,2020,8329.0,dtc,BRONX
40,5,5.6,2020,9207.0,dtc,BRONX
41,6,5.6,2020,9207.0,dtc,BRONX
42,7,6.1,2020,9648.0,dtc,BRONX
43,8,5.9,2020,9207.0,dtc,BRONX
44,9,5.2,2020,9207.0,dtc,BRONX
45,10,5.3,2020,9207.0,dtc,BRONX
46,11,5.1,2020,8207.0,dtc,BRONX
47,12,5.5,2020,7704.0,dtc,BRONX
48,1,6.6,2021,7265.0,dtc,BRONX
49,2,6.2,2021,6754.0,dtc,BRONX
50,3,5.7,2021,8329.0,dtc,BRONX
51,4,5.0,2021,8329.0,dtc,BRONX
52,5,5.6,2021,9207.0,dtc,BRONX
53,6,5.6,2021,9207.0,dtc,BRONX
54,7,6.1,2021,9648.0,dtc,BRONX
55,8,5.9,2021,9207.0,dtc,BRONX
56,9,5.2,2021,9207.0,dtc,BRONX
57,10,5.3,2021,9207.0,dtc,BRONX
58,11,5.1,2021,8207.0,dtc,BRONX
59,12,5.5,2021,7704.0,dtc,BRONX
60,1,6.6,2022,7265.0,dtc,BRONX
61,2,6.2,2022,6754.0,dtc,BRONX
62,3,5.7,2022,8329.0,dtc,BRONX
63,4,5.0,2022,8329.0,dtc,BRONX
64,5,5.6,2022,9207.0,dtc,BRONX
65,6,5.6,2022,9207.0,dtc,BRONX
66,7,6.1,2022,9648.0,dtc,BRONX
67,8,5.9,2022,9207.0,dtc,BRONX
68,9,5.2,2022,9207.0,dtc,BRONX
69,10,5.3,2022,9207.0,dtc,BRONX
70,11,5.1,2022,8207.0,dtc,BRONX
71,12,5.5,2022,7704.0,dtc,BRONX
