,Month,Unemp_rate,year,rate,model,borough
0,1,6.9,2017,8463.0,knn,BRONX
1,2,6.8,2017,7295.0,knn,BRONX
2,3,6.2,2017,8801.0,knn,BRONX
3,4,5.8,2017,8578.0,knn,BRONX
4,5,5.9,2017,9373.0,knn,BRONX
5,6,6.2,2017,9260.0,knn,BRONX
6,7,6.9,2017,9686.0,knn,BRONX
7,8,7.0,2017,9845.0,knn,BRONX
8,9,6.2,2017,9410.0,knn,BRONX
9,10,6.0,2017,9638.0,knn,BRONX
10,11,5.8,2017,8389.0,knn,BRONX
11,12,5.7,2017,7279.0,knn,BRONX
12,1,6.4,2018,7265.0,knn,BRONX
13,2,6.4,2018,6754.0,knn,BRONX
14,3,6.0,2018,8177.0,knn,BRONX
15,4,5.3,2018,8481.0,knn,BRONX
16,5,5.0,2018,9314.0,knn,BRONX
17,6,5.7,2018,8880.0,knn,BRONX
18,7,6.1,2018,9689.0,knn,BRONX
19,8,6.0,2018,10009.0,knn,BRONX
20,9,5.2,2018,9378.0,knn,BRONX
21,10,5.3,2018,9092.0,knn,BRONX
22,11,5.1,2018,8207.0,knn,BRONX
23,12,5.5,2018,7704.0,knn,BRONX
24,1,6.6,2019,8250.0,knn,BRONX
25,2,6.2,2019,8250.0,knn,BRONX
26,3,5.7,2019,8250.0,knn,BRONX
27,4,5.0,2019,8731.0,knn,BRONX
28,5,5.6,2019,9024.0,knn,BRONX
29,6,5.6,2019,9312.0,knn,BRONX
30,7,6.1,2019,9484.0,knn,BRONX
31,8,5.9,2019,9489.0,knn,BRONX
32,9,5.2,2019,9136.0,knn,BRONX
33,10,5.3,2019,8880.0,knn,BRONX
34,11,5.1,2019,8895.0,knn,BRONX
35,12,5.5,2019,8895.0,knn,BRONX
36,1,6.6,2020,8250.0,knn,BRONX
37,2,6.2,2020,8250.0,knn,BRONX
38,3,5.7,2020,8292.0,knn,BRONX
39,4,5.0,2020,8731.0,knn,BRONX
40,5,5.6,2020,9056.0,knn,BRONX
41,6,5.6,2020,9145.0,knn,BRONX
42,7,6.1,2020,9484.0,knn,BRONX
43,8,5.9,2020,9489.0,knn,BRONX
44,9,5.2,2020,9185.0,knn,BRONX
45,10,5.3,2020,8880.0,knn,BRONX
46,11,5.1,2020,8880.0,knn,BRONX
47,12,5.5,2020,8895.0,knn,BRONX
48,1,6.6,2021,8250.0,knn,BRONX
49,2,6.2,2021,8250.0,knn,BRONX
50,3,5.7,2021,8292.0,knn,BRONX
51,4,5.0,2021,8531.0,knn,BRONX
52,5,5.6,2021,8852.0,knn,BRONX
53,6,5.6,2021,9225.0,knn,BRONX
54,7,6.1,2021,9363.0,knn,BRONX
55,8,5.9,2021,9351.0,knn,BRONX
56,9,5.2,2021,9185.0,knn,BRONX
57,10,5.3,2021,8880.0,knn,BRONX
58,11,5.1,2021,8880.0,knn,BRONX
59,12,5.5,2021,8895.0,knn,BRONX
60,1,6.6,2022,8250.0,knn,BRONX
61,2,6.2,2022,8201.0,knn,BRONX
62,3,5.7,2022,8292.0,knn,BRONX
63,4,5.0,2022,8531.0,knn,BRONX
64,5,5.6,2022,8852.0,knn,BRONX
65,6,5.6,2022,9225.0,knn,BRONX
66,7,6.1,2022,9363.0,knn,BRONX
67,8,5.9,2022,9351.0,knn,BRONX
68,9,5.2,2022,9185.0,knn,BRONX
69,10,5.3,2022,8880.0,knn,BRONX
70,11,5.1,2022,8880.0,knn,BRONX
71,12,5.5,2022,8880.0,knn,BRONX
