,Month,Unemp_rate,year,rate,model,borough
0,1,6.9,2017,8463.0,lr,BRONX
1,2,6.8,2017,7295.0,lr,BRONX
2,3,6.2,2017,8801.0,lr,BRONX
3,4,5.8,2017,8578.0,lr,BRONX
4,5,5.9,2017,9373.0,lr,BRONX
5,6,6.2,2017,9260.0,lr,BRONX
6,7,6.9,2017,9686.0,lr,BRONX
7,8,7.0,2017,9845.0,lr,BRONX
8,9,6.2,2017,9410.0,lr,BRONX
9,10,6.0,2017,9638.0,lr,BRONX
10,11,5.8,2017,8389.0,lr,BRONX
11,12,5.7,2017,7279.0,lr,BRONX
12,1,6.4,2018,7265.0,lr,BRONX
13,2,6.4,2018,6754.0,lr,BRONX
14,3,6.0,2018,8177.0,lr,BRONX
15,4,5.3,2018,8481.0,lr,BRONX
16,5,5.0,2018,9314.0,lr,BRONX
17,6,5.7,2018,8880.0,lr,BRONX
18,7,6.1,2018,9689.0,lr,BRONX
19,8,6.0,2018,10009.0,lr,BRONX
20,9,5.2,2018,9378.0,lr,BRONX
21,10,5.3,2018,9092.0,lr,BRONX
22,11,5.1,2018,8207.0,lr,BRONX
23,12,5.5,2018,7704.0,lr,BRONX
24,1,6.6,2019,8463.0,lr,BRONX
25,2,6.2,2019,7265.0,lr,BRONX
26,3,5.7,2019,8481.0,lr,BRONX
27,4,5.0,2019,9314.0,lr,BRONX
28,5,5.6,2019,9314.0,lr,BRONX
29,6,5.6,2019,9314.0,lr,BRONX
30,7,6.1,2019,9686.0,lr,BRONX
31,8,5.9,2019,10009.0,lr,BRONX
32,9,5.2,2019,9378.0,lr,BRONX
33,10,5.3,2019,8207.0,lr,BRONX
34,11,5.1,2019,8207.0,lr,BRONX
35,12,5.5,2019,7704.0,lr,BRONX
36,1,6.6,2020,8463.0,lr,BRONX
37,2,6.2,2020,7265.0,lr,BRONX
38,3,5.7,2020,8481.0,lr,BRONX
39,4,5.0,2020,9314.0,lr,BRONX
40,5,5.6,2020,9314.0,lr,BRONX
41,6,5.6,2020,9314.0,lr,BRONX
42,7,6.1,2020,9686.0,lr,BRONX
43,8,5.9,2020,10009.0,lr,BRONX
44,9,5.2,2020,9378.0,lr,BRONX
45,10,5.3,2020,8207.0,lr,BRONX
46,11,5.1,2020,8207.0,lr,BRONX
47,12,5.5,2020,7704.0,lr,BRONX
48,1,6.6,2021,8463.0,lr,BRONX
49,2,6.2,2021,7265.0,lr,BRONX
50,3,5.7,2021,8481.0,lr,BRONX
51,4,5.0,2021,9314.0,lr,BRONX
52,5,5.6,2021,9314.0,lr,BRONX
53,6,5.6,2021,9314.0,lr,BRONX
54,7,6.1,2021,9686.0,lr,BRONX
55,8,5.9,2021,10009.0,lr,BRONX
56,9,5.2,2021,9378.0,lr,BRONX
57,10,5.3,2021,8207.0,lr,BRONX
58,11,5.1,2021,8207.0,lr,BRONX
59,12,5.5,2021,7704.0,lr,BRONX
60,1,6.6,2022,8463.0,lr,BRONX
61,2,6.2,2022,7265.0,lr,BRONX
62,3,5.7,2022,8481.0,lr,BRONX
63,4,5.0,2022,9314.0,lr,BRONX
64,5,5.6,2022,9314.0,lr,BRONX
65,6,5.6,2022,9314.0,lr,BRONX
66,7,6.1,2022,9686.0,lr,BRONX
67,8,5.9,2022,10009.0,lr,BRONX
68,9,5.2,2022,9378.0,lr,BRONX
69,10,5.3,2022,8207.0,lr,BRONX
70,11,5.1,2022,8207.0,lr,BRONX
71,12,5.5,2022,7704.0,lr,BRONX
