,Month,Unemp_rate,year,rate,model,borough
0,1,6.9,2017,8463.0,rf,BRONX
1,2,6.8,2017,7295.0,rf,BRONX
2,3,6.2,2017,8801.0,rf,BRONX
3,4,5.8,2017,8578.0,rf,BRONX
4,5,5.9,2017,9373.0,rf,BRONX
5,6,6.2,2017,9260.0,rf,BRONX
6,7,6.9,2017,9686.0,rf,BRONX
7,8,7.0,2017,9845.0,rf,BRONX
8,9,6.2,2017,9410.0,rf,BRONX
9,10,6.0,2017,9638.0,rf,BRONX
10,11,5.8,2017,8389.0,rf,BRONX
11,12,5.7,2017,7279.0,rf,BRONX
12,1,6.4,2018,7265.0,rf,BRONX
13,2,6.4,2018,6754.0,rf,BRONX
14,3,6.0,2018,8177.0,rf,BRONX
15,4,5.3,2018,8481.0,rf,BRONX
16,5,5.0,2018,9314.0,rf,BRONX
17,6,5.7,2018,8880.0,rf,BRONX
18,7,6.1,2018,9689.0,rf,BRONX
19,8,6.0,2018,10009.0,rf,BRONX
20,9,5.2,2018,9378.0,rf,BRONX
21,10,5.3,2018,9092.0,rf,BRONX
22,11,5.1,2018,8207.0,rf,BRONX
23,12,5.5,2018,7704.0,rf,BRONX
24,1,6.6,2019,7115.0,rf,BRONX
25,2,6.2,2019,7195.0,rf,BRONX
26,3,5.7,2019,8188.0,rf,BRONX
27,4,5.0,2019,8653.0,rf,BRONX
28,5,5.6,2019,9147.0,rf,BRONX
29,6,5.6,2019,9060.0,rf,BRONX
30,7,6.1,2019,9624.0,rf,BRONX
31,8,5.9,2019,9492.0,rf,BRONX
32,9,5.2,2019,9309.0,rf,BRONX
33,10,5.3,2019,9186.0,rf,BRONX
34,11,5.1,2019,8336.0,rf,BRONX
35,12,5.5,2019,7619.0,rf,BRONX
36,1,6.6,2020,7115.0,rf,BRONX
37,2,6.2,2020,7195.0,rf,BRONX
38,3,5.7,2020,8188.0,rf,BRONX
39,4,5.0,2020,8653.0,rf,BRONX
40,5,5.6,2020,9147.0,rf,BRONX
41,6,5.6,2020,9060.0,rf,BRONX
42,7,6.1,2020,9624.0,rf,BRONX
43,8,5.9,2020,9492.0,rf,BRONX
44,9,5.2,2020,9309.0,rf,BRONX
45,10,5.3,2020,9186.0,rf,BRONX
46,11,5.1,2020,8336.0,rf,BRONX
47,12,5.5,2020,7619.0,rf,BRONX
48,1,6.6,2021,7115.0,rf,BRONX
49,2,6.2,2021,7195.0,rf,BRONX
50,3,5.7,2021,8188.0,rf,BRONX
51,4,5.0,2021,8653.0,rf,BRONX
52,5,5.6,2021,9147.0,rf,BRONX
53,6,5.6,2021,9060.0,rf,BRONX
54,7,6.1,2021,9624.0,rf,BRONX
55,8,5.9,2021,9492.0,rf,BRONX
56,9,5.2,2021,9309.0,rf,BRONX
57,10,5.3,2021,9186.0,rf,BRONX
58,11,5.1,2021,8336.0,rf,BRONX
59,12,5.5,2021,7619.0,rf,BRONX
60,1,6.6,2022,7115.0,rf,BRONX
61,2,6.2,2022,7195.0,rf,BRONX
62,3,5.7,2022,8188.0,rf,BRONX
63,4,5.0,2022,8653.0,rf,BRONX
64,5,5.6,2022,9147.0,rf,BRONX
65,6,5.6,2022,9060.0,rf,BRONX
66,7,6.1,2022,9624.0,rf,BRONX
67,8,5.9,2022,9492.0,rf,BRONX
68,9,5.2,2022,9309.0,rf,BRONX
69,10,5.3,2022,9186.0,rf,BRONX
70,11,5.1,2022,8336.0,rf,BRONX
71,12,5.5,2022,7619.0,rf,BRONX
