,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,11629.0,clfpoly2,BROOKLYN
1,2,5.1,2017,10390.0,clfpoly2,BROOKLYN
2,3,4.5,2017,12223.0,clfpoly2,BROOKLYN
3,4,4.3,2017,12148.0,clfpoly2,BROOKLYN
4,5,4.5,2017,13407.0,clfpoly2,BROOKLYN
5,6,4.7,2017,12739.0,clfpoly2,BROOKLYN
6,7,5.3,2017,13944.0,clfpoly2,BROOKLYN
7,8,5.3,2017,13657.0,clfpoly2,BROOKLYN
8,9,4.7,2017,12877.0,clfpoly2,BROOKLYN
9,10,4.5,2017,13529.0,clfpoly2,BROOKLYN
10,11,4.2,2017,11227.0,clfpoly2,BROOKLYN
11,12,4.1,2017,10683.0,clfpoly2,BROOKLYN
12,1,4.7,2018,10501.0,clfpoly2,BROOKLYN
13,2,4.7,2018,8922.0,clfpoly2,BROOKLYN
14,3,4.4,2018,11223.0,clfpoly2,BROOKLYN
15,4,4.0,2018,11742.0,clfpoly2,BROOKLYN
16,5,3.7,2018,12882.0,clfpoly2,BROOKLYN
17,6,4.3,2018,12518.0,clfpoly2,BROOKLYN
18,7,4.5,2018,13175.0,clfpoly2,BROOKLYN
19,8,4.5,2018,13440.0,clfpoly2,BROOKLYN
20,9,4.0,2018,12220.0,clfpoly2,BROOKLYN
21,10,4.1,2018,11843.0,clfpoly2,BROOKLYN
22,11,3.8,2018,11245.0,clfpoly2,BROOKLYN
23,12,4.1,2018,10641.0,clfpoly2,BROOKLYN
24,1,5.0,2019,9309.0,clfpoly2,BROOKLYN
25,2,4.7,2019,10200.0,clfpoly2,BROOKLYN
26,3,4.3,2019,10917.0,clfpoly2,BROOKLYN
27,4,3.8,2019,11496.0,clfpoly2,BROOKLYN
28,5,4.3,2019,11924.0,clfpoly2,BROOKLYN
29,6,4.4,2019,12205.0,clfpoly2,BROOKLYN
30,7,4.6,2019,12384.0,clfpoly2,BROOKLYN
31,8,4.5,2019,12270.0,clfpoly2,BROOKLYN
32,9,4.0,2019,11811.0,clfpoly2,BROOKLYN
33,10,4.1,2019,11418.0,clfpoly2,BROOKLYN
34,11,3.8,2019,10689.0,clfpoly2,BROOKLYN
35,12,4.1,2019,10058.0,clfpoly2,BROOKLYN
36,1,5.0,2020,8819.0,clfpoly2,BROOKLYN
37,2,4.7,2020,9711.0,clfpoly2,BROOKLYN
38,3,4.3,2020,10429.0,clfpoly2,BROOKLYN
39,4,3.8,2020,11008.0,clfpoly2,BROOKLYN
40,5,4.3,2020,11436.0,clfpoly2,BROOKLYN
41,6,4.4,2020,11718.0,clfpoly2,BROOKLYN
42,7,4.6,2020,11897.0,clfpoly2,BROOKLYN
43,8,4.5,2020,11784.0,clfpoly2,BROOKLYN
44,9,4.0,2020,11326.0,clfpoly2,BROOKLYN
45,10,4.1,2020,10933.0,clfpoly2,BROOKLYN
46,11,3.8,2020,10205.0,clfpoly2,BROOKLYN
47,12,4.1,2020,9574.0,clfpoly2,BROOKLYN
48,1,5.0,2021,8329.0,clfpoly2,BROOKLYN
49,2,4.7,2021,9222.0,clfpoly2,BROOKLYN
50,3,4.3,2021,9940.0,clfpoly2,BROOKLYN
51,4,3.8,2021,10521.0,clfpoly2,BROOKLYN
52,5,4.3,2021,10948.0,clfpoly2,BROOKLYN
53,6,4.4,2021,11231.0,clfpoly2,BROOKLYN
54,7,4.6,2021,11410.0,clfpoly2,BROOKLYN
55,8,4.5,2021,11297.0,clfpoly2,BROOKLYN
56,9,4.0,2021,10840.0,clfpoly2,BROOKLYN
57,10,4.1,2021,10447.0,clfpoly2,BROOKLYN
58,11,3.8,2021,9720.0,clfpoly2,BROOKLYN
59,12,4.1,2021,9089.0,clfpoly2,BROOKLYN
60,1,5.0,2022,7839.0,clfpoly2,BROOKLYN
61,2,4.7,2022,8732.0,clfpoly2,BROOKLYN
62,3,4.3,2022,9451.0,clfpoly2,BROOKLYN
63,4,3.8,2022,10033.0,clfpoly2,BROOKLYN
64,5,4.3,2022,10460.0,clfpoly2,BROOKLYN
65,6,4.4,2022,10743.0,clfpoly2,BROOKLYN
66,7,4.6,2022,10922.0,clfpoly2,BROOKLYN
67,8,4.5,2022,10810.0,clfpoly2,BROOKLYN
68,9,4.0,2022,10354.0,clfpoly2,BROOKLYN
69,10,4.1,2022,9962.0,clfpoly2,BROOKLYN
70,11,3.8,2022,9235.0,clfpoly2,BROOKLYN
71,12,4.1,2022,8605.0,clfpoly2,BROOKLYN
