,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,11629.0,dtc,BROOKLYN
1,2,5.1,2017,10390.0,dtc,BROOKLYN
2,3,4.5,2017,12223.0,dtc,BROOKLYN
3,4,4.3,2017,12148.0,dtc,BROOKLYN
4,5,4.5,2017,13407.0,dtc,BROOKLYN
5,6,4.7,2017,12739.0,dtc,BROOKLYN
6,7,5.3,2017,13944.0,dtc,BROOKLYN
7,8,5.3,2017,13657.0,dtc,BROOKLYN
8,9,4.7,2017,12877.0,dtc,BROOKLYN
9,10,4.5,2017,13529.0,dtc,BROOKLYN
10,11,4.2,2017,11227.0,dtc,BROOKLYN
11,12,4.1,2017,10683.0,dtc,BROOKLYN
12,1,4.7,2018,10501.0,dtc,BROOKLYN
13,2,4.7,2018,8922.0,dtc,BROOKLYN
14,3,4.4,2018,11223.0,dtc,BROOKLYN
15,4,4.0,2018,11742.0,dtc,BROOKLYN
16,5,3.7,2018,12882.0,dtc,BROOKLYN
17,6,4.3,2018,12518.0,dtc,BROOKLYN
18,7,4.5,2018,13175.0,dtc,BROOKLYN
19,8,4.5,2018,13440.0,dtc,BROOKLYN
20,9,4.0,2018,12220.0,dtc,BROOKLYN
21,10,4.1,2018,11843.0,dtc,BROOKLYN
22,11,3.8,2018,11245.0,dtc,BROOKLYN
23,12,4.1,2018,10641.0,dtc,BROOKLYN
24,1,5.0,2019,10501.0,dtc,BROOKLYN
25,2,4.7,2019,8922.0,dtc,BROOKLYN
26,3,4.3,2019,12226.0,dtc,BROOKLYN
27,4,3.8,2019,12226.0,dtc,BROOKLYN
28,5,4.3,2019,12226.0,dtc,BROOKLYN
29,6,4.4,2019,11223.0,dtc,BROOKLYN
30,7,4.6,2019,13194.0,dtc,BROOKLYN
31,8,4.5,2019,13194.0,dtc,BROOKLYN
32,9,4.0,2019,12226.0,dtc,BROOKLYN
33,10,4.1,2019,12226.0,dtc,BROOKLYN
34,11,3.8,2019,11236.0,dtc,BROOKLYN
35,12,4.1,2019,10662.0,dtc,BROOKLYN
36,1,5.0,2020,10501.0,dtc,BROOKLYN
37,2,4.7,2020,8922.0,dtc,BROOKLYN
38,3,4.3,2020,12226.0,dtc,BROOKLYN
39,4,3.8,2020,12226.0,dtc,BROOKLYN
40,5,4.3,2020,12226.0,dtc,BROOKLYN
41,6,4.4,2020,11223.0,dtc,BROOKLYN
42,7,4.6,2020,13194.0,dtc,BROOKLYN
43,8,4.5,2020,13194.0,dtc,BROOKLYN
44,9,4.0,2020,12226.0,dtc,BROOKLYN
45,10,4.1,2020,12226.0,dtc,BROOKLYN
46,11,3.8,2020,11236.0,dtc,BROOKLYN
47,12,4.1,2020,10662.0,dtc,BROOKLYN
48,1,5.0,2021,10501.0,dtc,BROOKLYN
49,2,4.7,2021,8922.0,dtc,BROOKLYN
50,3,4.3,2021,12226.0,dtc,BROOKLYN
51,4,3.8,2021,12226.0,dtc,BROOKLYN
52,5,4.3,2021,12226.0,dtc,BROOKLYN
53,6,4.4,2021,11223.0,dtc,BROOKLYN
54,7,4.6,2021,13194.0,dtc,BROOKLYN
55,8,4.5,2021,13194.0,dtc,BROOKLYN
56,9,4.0,2021,12226.0,dtc,BROOKLYN
57,10,4.1,2021,12226.0,dtc,BROOKLYN
58,11,3.8,2021,11236.0,dtc,BROOKLYN
59,12,4.1,2021,10662.0,dtc,BROOKLYN
60,1,5.0,2022,10501.0,dtc,BROOKLYN
61,2,4.7,2022,8922.0,dtc,BROOKLYN
62,3,4.3,2022,12226.0,dtc,BROOKLYN
63,4,3.8,2022,12226.0,dtc,BROOKLYN
64,5,4.3,2022,12226.0,dtc,BROOKLYN
65,6,4.4,2022,11223.0,dtc,BROOKLYN
66,7,4.6,2022,13194.0,dtc,BROOKLYN
67,8,4.5,2022,13194.0,dtc,BROOKLYN
68,9,4.0,2022,12226.0,dtc,BROOKLYN
69,10,4.1,2022,12226.0,dtc,BROOKLYN
70,11,3.8,2022,11236.0,dtc,BROOKLYN
71,12,4.1,2022,10662.0,dtc,BROOKLYN
