,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,11629.0,knn,BROOKLYN
1,2,5.1,2017,10390.0,knn,BROOKLYN
2,3,4.5,2017,12223.0,knn,BROOKLYN
3,4,4.3,2017,12148.0,knn,BROOKLYN
4,5,4.5,2017,13407.0,knn,BROOKLYN
5,6,4.7,2017,12739.0,knn,BROOKLYN
6,7,5.3,2017,13944.0,knn,BROOKLYN
7,8,5.3,2017,13657.0,knn,BROOKLYN
8,9,4.7,2017,12877.0,knn,BROOKLYN
9,10,4.5,2017,13529.0,knn,BROOKLYN
10,11,4.2,2017,11227.0,knn,BROOKLYN
11,12,4.1,2017,10683.0,knn,BROOKLYN
12,1,4.7,2018,10501.0,knn,BROOKLYN
13,2,4.7,2018,8922.0,knn,BROOKLYN
14,3,4.4,2018,11223.0,knn,BROOKLYN
15,4,4.0,2018,11742.0,knn,BROOKLYN
16,5,3.7,2018,12882.0,knn,BROOKLYN
17,6,4.3,2018,12518.0,knn,BROOKLYN
18,7,4.5,2018,13175.0,knn,BROOKLYN
19,8,4.5,2018,13440.0,knn,BROOKLYN
20,9,4.0,2018,12220.0,knn,BROOKLYN
21,10,4.1,2018,11843.0,knn,BROOKLYN
22,11,3.8,2018,11245.0,knn,BROOKLYN
23,12,4.1,2018,10641.0,knn,BROOKLYN
24,1,5.0,2019,11507.0,knn,BROOKLYN
25,2,4.7,2019,11507.0,knn,BROOKLYN
26,3,4.3,2019,11507.0,knn,BROOKLYN
27,4,3.8,2019,11819.0,knn,BROOKLYN
28,5,4.3,2019,12600.0,knn,BROOKLYN
29,6,4.4,2019,12965.0,knn,BROOKLYN
30,7,4.6,2019,13086.0,knn,BROOKLYN
31,8,4.5,2019,12994.0,knn,BROOKLYN
32,9,4.0,2019,12716.0,knn,BROOKLYN
33,10,4.1,2019,12136.0,knn,BROOKLYN
34,11,3.8,2019,12136.0,knn,BROOKLYN
35,12,4.1,2019,12136.0,knn,BROOKLYN
36,1,5.0,2020,11507.0,knn,BROOKLYN
37,2,4.7,2020,11507.0,knn,BROOKLYN
38,3,4.3,2020,11596.0,knn,BROOKLYN
39,4,3.8,2020,11874.0,knn,BROOKLYN
40,5,4.3,2020,12550.0,knn,BROOKLYN
41,6,4.4,2020,12722.0,knn,BROOKLYN
42,7,4.6,2020,13086.0,knn,BROOKLYN
43,8,4.5,2020,12994.0,knn,BROOKLYN
44,9,4.0,2020,12385.0,knn,BROOKLYN
45,10,4.1,2020,12088.0,knn,BROOKLYN
46,11,3.8,2020,12136.0,knn,BROOKLYN
47,12,4.1,2020,12136.0,knn,BROOKLYN
48,1,5.0,2021,11507.0,knn,BROOKLYN
49,2,4.7,2021,11507.0,knn,BROOKLYN
50,3,4.3,2021,11596.0,knn,BROOKLYN
51,4,3.8,2021,11874.0,knn,BROOKLYN
52,5,4.3,2021,12220.0,knn,BROOKLYN
53,6,4.4,2021,12729.0,knn,BROOKLYN
54,7,4.6,2021,12816.0,knn,BROOKLYN
55,8,4.5,2021,12780.0,knn,BROOKLYN
56,9,4.0,2021,12514.0,knn,BROOKLYN
57,10,4.1,2021,12088.0,knn,BROOKLYN
58,11,3.8,2021,12088.0,knn,BROOKLYN
59,12,4.1,2021,12136.0,knn,BROOKLYN
60,1,5.0,2022,11507.0,knn,BROOKLYN
61,2,4.7,2022,11418.0,knn,BROOKLYN
62,3,4.3,2022,11596.0,knn,BROOKLYN
63,4,3.8,2022,11874.0,knn,BROOKLYN
64,5,4.3,2022,12220.0,knn,BROOKLYN
65,6,4.4,2022,12729.0,knn,BROOKLYN
66,7,4.6,2022,12816.0,knn,BROOKLYN
67,8,4.5,2022,12780.0,knn,BROOKLYN
68,9,4.0,2022,12514.0,knn,BROOKLYN
69,10,4.1,2022,12088.0,knn,BROOKLYN
70,11,3.8,2022,12088.0,knn,BROOKLYN
71,12,4.1,2022,12088.0,knn,BROOKLYN
