,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,11629.0,rf,BROOKLYN
1,2,5.1,2017,10390.0,rf,BROOKLYN
2,3,4.5,2017,12223.0,rf,BROOKLYN
3,4,4.3,2017,12148.0,rf,BROOKLYN
4,5,4.5,2017,13407.0,rf,BROOKLYN
5,6,4.7,2017,12739.0,rf,BROOKLYN
6,7,5.3,2017,13944.0,rf,BROOKLYN
7,8,5.3,2017,13657.0,rf,BROOKLYN
8,9,4.7,2017,12877.0,rf,BROOKLYN
9,10,4.5,2017,13529.0,rf,BROOKLYN
10,11,4.2,2017,11227.0,rf,BROOKLYN
11,12,4.1,2017,10683.0,rf,BROOKLYN
12,1,4.7,2018,10501.0,rf,BROOKLYN
13,2,4.7,2018,8922.0,rf,BROOKLYN
14,3,4.4,2018,11223.0,rf,BROOKLYN
15,4,4.0,2018,11742.0,rf,BROOKLYN
16,5,3.7,2018,12882.0,rf,BROOKLYN
17,6,4.3,2018,12518.0,rf,BROOKLYN
18,7,4.5,2018,13175.0,rf,BROOKLYN
19,8,4.5,2018,13440.0,rf,BROOKLYN
20,9,4.0,2018,12220.0,rf,BROOKLYN
21,10,4.1,2018,11843.0,rf,BROOKLYN
22,11,3.8,2018,11245.0,rf,BROOKLYN
23,12,4.1,2018,10641.0,rf,BROOKLYN
24,1,5.0,2019,10608.0,rf,BROOKLYN
25,2,4.7,2019,9468.0,rf,BROOKLYN
26,3,4.3,2019,11316.0,rf,BROOKLYN
27,4,3.8,2019,12187.0,rf,BROOKLYN
28,5,4.3,2019,12464.0,rf,BROOKLYN
29,6,4.4,2019,12538.0,rf,BROOKLYN
30,7,4.6,2019,13202.0,rf,BROOKLYN
31,8,4.5,2019,13369.0,rf,BROOKLYN
32,9,4.0,2019,12237.0,rf,BROOKLYN
33,10,4.1,2019,12078.0,rf,BROOKLYN
34,11,3.8,2019,11349.0,rf,BROOKLYN
35,12,4.1,2019,10649.0,rf,BROOKLYN
36,1,5.0,2020,10608.0,rf,BROOKLYN
37,2,4.7,2020,9468.0,rf,BROOKLYN
38,3,4.3,2020,11316.0,rf,BROOKLYN
39,4,3.8,2020,12187.0,rf,BROOKLYN
40,5,4.3,2020,12464.0,rf,BROOKLYN
41,6,4.4,2020,12538.0,rf,BROOKLYN
42,7,4.6,2020,13202.0,rf,BROOKLYN
43,8,4.5,2020,13369.0,rf,BROOKLYN
44,9,4.0,2020,12237.0,rf,BROOKLYN
45,10,4.1,2020,12078.0,rf,BROOKLYN
46,11,3.8,2020,11349.0,rf,BROOKLYN
47,12,4.1,2020,10649.0,rf,BROOKLYN
48,1,5.0,2021,10608.0,rf,BROOKLYN
49,2,4.7,2021,9468.0,rf,BROOKLYN
50,3,4.3,2021,11316.0,rf,BROOKLYN
51,4,3.8,2021,12187.0,rf,BROOKLYN
52,5,4.3,2021,12464.0,rf,BROOKLYN
53,6,4.4,2021,12538.0,rf,BROOKLYN
54,7,4.6,2021,13202.0,rf,BROOKLYN
55,8,4.5,2021,13369.0,rf,BROOKLYN
56,9,4.0,2021,12237.0,rf,BROOKLYN
57,10,4.1,2021,12078.0,rf,BROOKLYN
58,11,3.8,2021,11349.0,rf,BROOKLYN
59,12,4.1,2021,10649.0,rf,BROOKLYN
60,1,5.0,2022,10608.0,rf,BROOKLYN
61,2,4.7,2022,9468.0,rf,BROOKLYN
62,3,4.3,2022,11316.0,rf,BROOKLYN
63,4,3.8,2022,12187.0,rf,BROOKLYN
64,5,4.3,2022,12464.0,rf,BROOKLYN
65,6,4.4,2022,12538.0,rf,BROOKLYN
66,7,4.6,2022,13202.0,rf,BROOKLYN
67,8,4.5,2022,13369.0,rf,BROOKLYN
68,9,4.0,2022,12237.0,rf,BROOKLYN
69,10,4.1,2022,12078.0,rf,BROOKLYN
70,11,3.8,2022,11349.0,rf,BROOKLYN
71,12,4.1,2022,10649.0,rf,BROOKLYN
