,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8955.0,clfpoly2,MANHATTAN
1,2,4.4,2017,8088.0,clfpoly2,MANHATTAN
2,3,4.0,2017,9341.0,clfpoly2,MANHATTAN
3,4,3.8,2017,9019.0,clfpoly2,MANHATTAN
4,5,3.9,2017,10391.0,clfpoly2,MANHATTAN
5,6,4.1,2017,10058.0,clfpoly2,MANHATTAN
6,7,4.4,2017,10277.0,clfpoly2,MANHATTAN
7,8,4.5,2017,10235.0,clfpoly2,MANHATTAN
8,9,4.1,2017,9876.0,clfpoly2,MANHATTAN
9,10,3.9,2017,10018.0,clfpoly2,MANHATTAN
10,11,3.7,2017,8827.0,clfpoly2,MANHATTAN
11,12,3.6,2017,8011.0,clfpoly2,MANHATTAN
12,1,4.1,2018,8181.0,clfpoly2,MANHATTAN
13,2,4.1,2018,7527.0,clfpoly2,MANHATTAN
14,3,3.9,2018,8888.0,clfpoly2,MANHATTAN
15,4,3.5,2018,9417.0,clfpoly2,MANHATTAN
16,5,3.3,2018,9950.0,clfpoly2,MANHATTAN
17,6,3.8,2018,9583.0,clfpoly2,MANHATTAN
18,7,3.8,2018,10308.0,clfpoly2,MANHATTAN
19,8,3.8,2018,10251.0,clfpoly2,MANHATTAN
20,9,3.4,2018,9597.0,clfpoly2,MANHATTAN
21,10,3.5,2018,9619.0,clfpoly2,MANHATTAN
22,11,3.3,2018,8755.0,clfpoly2,MANHATTAN
23,12,3.6,2018,8504.0,clfpoly2,MANHATTAN
24,1,4.4,2019,7841.0,clfpoly2,MANHATTAN
25,2,4.1,2019,8396.0,clfpoly2,MANHATTAN
26,3,3.7,2019,8822.0,clfpoly2,MANHATTAN
27,4,3.3,2019,9185.0,clfpoly2,MANHATTAN
28,5,3.8,2019,9679.0,clfpoly2,MANHATTAN
29,6,3.8,2019,9882.0,clfpoly2,MANHATTAN
30,7,3.9,2019,9974.0,clfpoly2,MANHATTAN
31,8,3.8,2019,9878.0,clfpoly2,MANHATTAN
32,9,3.4,2019,9625.0,clfpoly2,MANHATTAN
33,10,3.5,2019,9300.0,clfpoly2,MANHATTAN
34,11,3.3,2019,8835.0,clfpoly2,MANHATTAN
35,12,3.6,2019,8223.0,clfpoly2,MANHATTAN
36,1,4.4,2020,7742.0,clfpoly2,MANHATTAN
37,2,4.1,2020,8298.0,clfpoly2,MANHATTAN
38,3,3.7,2020,8725.0,clfpoly2,MANHATTAN
39,4,3.3,2020,9088.0,clfpoly2,MANHATTAN
40,5,3.8,2020,9583.0,clfpoly2,MANHATTAN
41,6,3.8,2020,9787.0,clfpoly2,MANHATTAN
42,7,3.9,2020,9879.0,clfpoly2,MANHATTAN
43,8,3.8,2020,9783.0,clfpoly2,MANHATTAN
44,9,3.4,2020,9531.0,clfpoly2,MANHATTAN
45,10,3.5,2020,9207.0,clfpoly2,MANHATTAN
46,11,3.3,2020,8743.0,clfpoly2,MANHATTAN
47,12,3.6,2020,8131.0,clfpoly2,MANHATTAN
48,1,4.4,2021,7644.0,clfpoly2,MANHATTAN
49,2,4.1,2021,8200.0,clfpoly2,MANHATTAN
50,3,3.7,2021,8628.0,clfpoly2,MANHATTAN
51,4,3.3,2021,8991.0,clfpoly2,MANHATTAN
52,5,3.8,2021,9487.0,clfpoly2,MANHATTAN
53,6,3.8,2021,9691.0,clfpoly2,MANHATTAN
54,7,3.9,2021,9784.0,clfpoly2,MANHATTAN
55,8,3.8,2021,9689.0,clfpoly2,MANHATTAN
56,9,3.4,2021,9437.0,clfpoly2,MANHATTAN
57,10,3.5,2021,9114.0,clfpoly2,MANHATTAN
58,11,3.3,2021,8650.0,clfpoly2,MANHATTAN
59,12,3.6,2021,8038.0,clfpoly2,MANHATTAN
60,1,4.4,2022,7545.0,clfpoly2,MANHATTAN
61,2,4.1,2022,8102.0,clfpoly2,MANHATTAN
62,3,3.7,2022,8530.0,clfpoly2,MANHATTAN
63,4,3.3,2022,8895.0,clfpoly2,MANHATTAN
64,5,3.8,2022,9391.0,clfpoly2,MANHATTAN
65,6,3.8,2022,9595.0,clfpoly2,MANHATTAN
66,7,3.9,2022,9689.0,clfpoly2,MANHATTAN
67,8,3.8,2022,9594.0,clfpoly2,MANHATTAN
68,9,3.4,2022,9343.0,clfpoly2,MANHATTAN
69,10,3.5,2022,9020.0,clfpoly2,MANHATTAN
70,11,3.3,2022,8557.0,clfpoly2,MANHATTAN
71,12,3.6,2022,7946.0,clfpoly2,MANHATTAN
