,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8955.0,dtc,MANHATTAN
1,2,4.4,2017,8088.0,dtc,MANHATTAN
2,3,4.0,2017,9341.0,dtc,MANHATTAN
3,4,3.8,2017,9019.0,dtc,MANHATTAN
4,5,3.9,2017,10391.0,dtc,MANHATTAN
5,6,4.1,2017,10058.0,dtc,MANHATTAN
6,7,4.4,2017,10277.0,dtc,MANHATTAN
7,8,4.5,2017,10235.0,dtc,MANHATTAN
8,9,4.1,2017,9876.0,dtc,MANHATTAN
9,10,3.9,2017,10018.0,dtc,MANHATTAN
10,11,3.7,2017,8827.0,dtc,MANHATTAN
11,12,3.6,2017,8011.0,dtc,MANHATTAN
12,1,4.1,2018,8181.0,dtc,MANHATTAN
13,2,4.1,2018,7527.0,dtc,MANHATTAN
14,3,3.9,2018,8888.0,dtc,MANHATTAN
15,4,3.5,2018,9417.0,dtc,MANHATTAN
16,5,3.3,2018,9950.0,dtc,MANHATTAN
17,6,3.8,2018,9583.0,dtc,MANHATTAN
18,7,3.8,2018,10308.0,dtc,MANHATTAN
19,8,3.8,2018,10251.0,dtc,MANHATTAN
20,9,3.4,2018,9597.0,dtc,MANHATTAN
21,10,3.5,2018,9619.0,dtc,MANHATTAN
22,11,3.3,2018,8755.0,dtc,MANHATTAN
23,12,3.6,2018,8504.0,dtc,MANHATTAN
24,1,4.4,2019,8181.0,dtc,MANHATTAN
25,2,4.1,2019,7527.0,dtc,MANHATTAN
26,3,3.7,2019,9083.0,dtc,MANHATTAN
27,4,3.3,2019,9417.0,dtc,MANHATTAN
28,5,3.8,2019,10111.0,dtc,MANHATTAN
29,6,3.8,2019,10111.0,dtc,MANHATTAN
30,7,3.9,2019,10111.0,dtc,MANHATTAN
31,8,3.8,2019,10111.0,dtc,MANHATTAN
32,9,3.4,2019,9722.0,dtc,MANHATTAN
33,10,3.5,2019,9722.0,dtc,MANHATTAN
34,11,3.3,2019,8755.0,dtc,MANHATTAN
35,12,3.6,2019,8504.0,dtc,MANHATTAN
36,1,4.4,2020,8181.0,dtc,MANHATTAN
37,2,4.1,2020,7527.0,dtc,MANHATTAN
38,3,3.7,2020,9083.0,dtc,MANHATTAN
39,4,3.3,2020,9417.0,dtc,MANHATTAN
40,5,3.8,2020,10111.0,dtc,MANHATTAN
41,6,3.8,2020,10111.0,dtc,MANHATTAN
42,7,3.9,2020,10111.0,dtc,MANHATTAN
43,8,3.8,2020,10111.0,dtc,MANHATTAN
44,9,3.4,2020,9722.0,dtc,MANHATTAN
45,10,3.5,2020,9722.0,dtc,MANHATTAN
46,11,3.3,2020,8755.0,dtc,MANHATTAN
47,12,3.6,2020,8504.0,dtc,MANHATTAN
48,1,4.4,2021,8181.0,dtc,MANHATTAN
49,2,4.1,2021,7527.0,dtc,MANHATTAN
50,3,3.7,2021,9083.0,dtc,MANHATTAN
51,4,3.3,2021,9417.0,dtc,MANHATTAN
52,5,3.8,2021,10111.0,dtc,MANHATTAN
53,6,3.8,2021,10111.0,dtc,MANHATTAN
54,7,3.9,2021,10111.0,dtc,MANHATTAN
55,8,3.8,2021,10111.0,dtc,MANHATTAN
56,9,3.4,2021,9722.0,dtc,MANHATTAN
57,10,3.5,2021,9722.0,dtc,MANHATTAN
58,11,3.3,2021,8755.0,dtc,MANHATTAN
59,12,3.6,2021,8504.0,dtc,MANHATTAN
60,1,4.4,2022,8181.0,dtc,MANHATTAN
61,2,4.1,2022,7527.0,dtc,MANHATTAN
62,3,3.7,2022,9083.0,dtc,MANHATTAN
63,4,3.3,2022,9417.0,dtc,MANHATTAN
64,5,3.8,2022,10111.0,dtc,MANHATTAN
65,6,3.8,2022,10111.0,dtc,MANHATTAN
66,7,3.9,2022,10111.0,dtc,MANHATTAN
67,8,3.8,2022,10111.0,dtc,MANHATTAN
68,9,3.4,2022,9722.0,dtc,MANHATTAN
69,10,3.5,2022,9722.0,dtc,MANHATTAN
70,11,3.3,2022,8755.0,dtc,MANHATTAN
71,12,3.6,2022,8504.0,dtc,MANHATTAN
