,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8955.0,knn,MANHATTAN
1,2,4.4,2017,8088.0,knn,MANHATTAN
2,3,4.0,2017,9341.0,knn,MANHATTAN
3,4,3.8,2017,9019.0,knn,MANHATTAN
4,5,3.9,2017,10391.0,knn,MANHATTAN
5,6,4.1,2017,10058.0,knn,MANHATTAN
6,7,4.4,2017,10277.0,knn,MANHATTAN
7,8,4.5,2017,10235.0,knn,MANHATTAN
8,9,4.1,2017,9876.0,knn,MANHATTAN
9,10,3.9,2017,10018.0,knn,MANHATTAN
10,11,3.7,2017,8827.0,knn,MANHATTAN
11,12,3.6,2017,8011.0,knn,MANHATTAN
12,1,4.1,2018,8181.0,knn,MANHATTAN
13,2,4.1,2018,7527.0,knn,MANHATTAN
14,3,3.9,2018,8888.0,knn,MANHATTAN
15,4,3.5,2018,9417.0,knn,MANHATTAN
16,5,3.3,2018,9950.0,knn,MANHATTAN
17,6,3.8,2018,9583.0,knn,MANHATTAN
18,7,3.8,2018,10308.0,knn,MANHATTAN
19,8,3.8,2018,10251.0,knn,MANHATTAN
20,9,3.4,2018,9597.0,knn,MANHATTAN
21,10,3.5,2018,9619.0,knn,MANHATTAN
22,11,3.3,2018,8755.0,knn,MANHATTAN
23,12,3.6,2018,8504.0,knn,MANHATTAN
24,1,4.4,2019,8976.0,knn,MANHATTAN
25,2,4.1,2019,8976.0,knn,MANHATTAN
26,3,3.7,2019,8976.0,knn,MANHATTAN
27,4,3.3,2019,9226.0,knn,MANHATTAN
28,5,3.8,2019,9723.0,knn,MANHATTAN
29,6,3.8,2019,9949.0,knn,MANHATTAN
30,7,3.9,2019,10053.0,knn,MANHATTAN
31,8,3.8,2019,9982.0,knn,MANHATTAN
32,9,3.4,2019,9776.0,knn,MANHATTAN
33,10,3.5,2019,9369.0,knn,MANHATTAN
34,11,3.3,2019,9369.0,knn,MANHATTAN
35,12,3.6,2019,9369.0,knn,MANHATTAN
36,1,4.4,2020,8976.0,knn,MANHATTAN
37,2,4.1,2020,8976.0,knn,MANHATTAN
38,3,3.7,2020,9038.0,knn,MANHATTAN
39,4,3.3,2020,9260.0,knn,MANHATTAN
40,5,3.8,2020,9721.0,knn,MANHATTAN
41,6,3.8,2020,9814.0,knn,MANHATTAN
42,7,3.9,2020,10053.0,knn,MANHATTAN
43,8,3.8,2020,9982.0,knn,MANHATTAN
44,9,3.4,2020,9599.0,knn,MANHATTAN
45,10,3.5,2020,9377.0,knn,MANHATTAN
46,11,3.3,2020,9369.0,knn,MANHATTAN
47,12,3.6,2020,9369.0,knn,MANHATTAN
48,1,4.4,2021,8976.0,knn,MANHATTAN
49,2,4.1,2021,8976.0,knn,MANHATTAN
50,3,3.7,2021,9038.0,knn,MANHATTAN
51,4,3.3,2021,9260.0,knn,MANHATTAN
52,5,3.8,2021,9539.0,knn,MANHATTAN
53,6,3.8,2021,9872.0,knn,MANHATTAN
54,7,3.9,2021,9930.0,knn,MANHATTAN
55,8,3.8,2021,9845.0,knn,MANHATTAN
56,9,3.4,2021,9675.0,knn,MANHATTAN
57,10,3.5,2021,9377.0,knn,MANHATTAN
58,11,3.3,2021,9377.0,knn,MANHATTAN
59,12,3.6,2021,9369.0,knn,MANHATTAN
60,1,4.4,2022,8976.0,knn,MANHATTAN
61,2,4.1,2022,8895.0,knn,MANHATTAN
62,3,3.7,2022,9038.0,knn,MANHATTAN
63,4,3.3,2022,9260.0,knn,MANHATTAN
64,5,3.8,2022,9539.0,knn,MANHATTAN
65,6,3.8,2022,9872.0,knn,MANHATTAN
66,7,3.9,2022,9930.0,knn,MANHATTAN
67,8,3.8,2022,9845.0,knn,MANHATTAN
68,9,3.4,2022,9675.0,knn,MANHATTAN
69,10,3.5,2022,9377.0,knn,MANHATTAN
70,11,3.3,2022,9377.0,knn,MANHATTAN
71,12,3.6,2022,9377.0,knn,MANHATTAN
