,Unemp_rate,Unemp_rate,Unemp_rate,Unemp_rate,Unemp_rate,Unemp_rate,rate,rate,rate,rate,rate,rate
year,2017,2018,2019,2020,2021,2022,2017,2018,2019,2020,2021,2022
Month,,,,,,,,,,,,
1,4.5,4.1,4.4,3.75,3.56,3.38,8955.0,8181.0,32.14778137207031,32.15440368652344,32.16759490966797,32.1809196472168
2,4.4,4.1,4.1,3.69,3.51,3.32,8088.0,7527.0,32.13356018066406,32.143611907958984,32.15693664550781,32.170127868652344
3,4.0,3.9,3.7,3.64,3.45,3.27,9341.0,8888.0,32.117919921875,32.132965087890625,32.146148681640625,32.15947723388672
4,3.8,3.5,3.3,3.58,3.4,3.22,9019.0,9417.0,32.10228729248047,32.12217712402344,32.13550567626953,32.148834228515625
5,3.9,3.3,3.8,3.53,3.35,3.16,10391.0,9950.0,32.09947967529297,32.11152648925781,32.124855041503906,32.13804626464844
6,4.1,3.8,3.8,3.48,3.29,3.11,10058.0,9583.0,32.08954620361328,32.10087585449219,32.11406707763672,32.12738800048828
7,4.4,3.8,3.9,3.42,3.24,3.05,10277.0,10308.0,32.08103942871094,32.090091705322266,32.103416442871094,32.116600036621094
8,4.5,3.8,3.8,3.37,3.18,3.0,10235.0,10251.0,32.069679260253906,32.079437255859375,32.09263229370117,32.10595703125
9,4.1,3.4,3.5,3.31,3.13,2.94,9876.0,9597.0,32.05546188354492,32.06864929199219,32.08198165893555,32.09516906738281
10,3.9,3.5,3.44,3.26,3.07,2.89,10018.0,9619.0,32.04467010498047,32.05799865722656,32.07118606567383,32.08451843261719
11,3.7,3.3,3.39,3.2,3.02,2.83,8827.0,8755.0,32.034027099609375,32.04721450805664,32.06053161621094,32.07372283935547
12,3.6,3.6,3.33,3.15,2.97,2.78,8011.0,8504.0,32.023231506347656,32.03656005859375,32.049896240234375,32.06307601928711
