,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8955.0,rf,MANHATTAN
1,2,4.4,2017,8088.0,rf,MANHATTAN
2,3,4.0,2017,9341.0,rf,MANHATTAN
3,4,3.8,2017,9019.0,rf,MANHATTAN
4,5,3.9,2017,10391.0,rf,MANHATTAN
5,6,4.1,2017,10058.0,rf,MANHATTAN
6,7,4.4,2017,10277.0,rf,MANHATTAN
7,8,4.5,2017,10235.0,rf,MANHATTAN
8,9,4.1,2017,9876.0,rf,MANHATTAN
9,10,3.9,2017,10018.0,rf,MANHATTAN
10,11,3.7,2017,8827.0,rf,MANHATTAN
11,12,3.6,2017,8011.0,rf,MANHATTAN
12,1,4.1,2018,8181.0,rf,MANHATTAN
13,2,4.1,2018,7527.0,rf,MANHATTAN
14,3,3.9,2018,8888.0,rf,MANHATTAN
15,4,3.5,2018,9417.0,rf,MANHATTAN
16,5,3.3,2018,9950.0,rf,MANHATTAN
17,6,3.8,2018,9583.0,rf,MANHATTAN
18,7,3.8,2018,10308.0,rf,MANHATTAN
19,8,3.8,2018,10251.0,rf,MANHATTAN
20,9,3.4,2018,9597.0,rf,MANHATTAN
21,10,3.5,2018,9619.0,rf,MANHATTAN
22,11,3.3,2018,8755.0,rf,MANHATTAN
23,12,3.6,2018,8504.0,rf,MANHATTAN
24,1,4.4,2019,8165.0,rf,MANHATTAN
25,2,4.1,2019,7970.0,rf,MANHATTAN
26,3,3.7,2019,8753.0,rf,MANHATTAN
27,4,3.3,2019,9444.0,rf,MANHATTAN
28,5,3.8,2019,9723.0,rf,MANHATTAN
29,6,3.8,2019,9594.0,rf,MANHATTAN
30,7,3.9,2019,10040.0,rf,MANHATTAN
31,8,3.8,2019,10059.0,rf,MANHATTAN
32,9,3.4,2019,9629.0,rf,MANHATTAN
33,10,3.5,2019,9650.0,rf,MANHATTAN
34,11,3.3,2019,8906.0,rf,MANHATTAN
35,12,3.6,2019,8463.0,rf,MANHATTAN
36,1,4.4,2020,8165.0,rf,MANHATTAN
37,2,4.1,2020,7970.0,rf,MANHATTAN
38,3,3.7,2020,8753.0,rf,MANHATTAN
39,4,3.3,2020,9444.0,rf,MANHATTAN
40,5,3.8,2020,9723.0,rf,MANHATTAN
41,6,3.8,2020,9594.0,rf,MANHATTAN
42,7,3.9,2020,10040.0,rf,MANHATTAN
43,8,3.8,2020,10059.0,rf,MANHATTAN
44,9,3.4,2020,9629.0,rf,MANHATTAN
45,10,3.5,2020,9650.0,rf,MANHATTAN
46,11,3.3,2020,8906.0,rf,MANHATTAN
47,12,3.6,2020,8463.0,rf,MANHATTAN
48,1,4.4,2021,8165.0,rf,MANHATTAN
49,2,4.1,2021,7970.0,rf,MANHATTAN
50,3,3.7,2021,8753.0,rf,MANHATTAN
51,4,3.3,2021,9444.0,rf,MANHATTAN
52,5,3.8,2021,9723.0,rf,MANHATTAN
53,6,3.8,2021,9594.0,rf,MANHATTAN
54,7,3.9,2021,10040.0,rf,MANHATTAN
55,8,3.8,2021,10059.0,rf,MANHATTAN
56,9,3.4,2021,9629.0,rf,MANHATTAN
57,10,3.5,2021,9650.0,rf,MANHATTAN
58,11,3.3,2021,8906.0,rf,MANHATTAN
59,12,3.6,2021,8463.0,rf,MANHATTAN
60,1,4.4,2022,8165.0,rf,MANHATTAN
61,2,4.1,2022,7970.0,rf,MANHATTAN
62,3,3.7,2022,8753.0,rf,MANHATTAN
63,4,3.3,2022,9444.0,rf,MANHATTAN
64,5,3.8,2022,9723.0,rf,MANHATTAN
65,6,3.8,2022,9594.0,rf,MANHATTAN
66,7,3.9,2022,10040.0,rf,MANHATTAN
67,8,3.8,2022,10059.0,rf,MANHATTAN
68,9,3.4,2022,9629.0,rf,MANHATTAN
69,10,3.5,2022,9650.0,rf,MANHATTAN
70,11,3.3,2022,8906.0,rf,MANHATTAN
71,12,3.6,2022,8463.0,rf,MANHATTAN
