,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8276.0,clfpoly2,QUEENS
1,2,4.4,2017,7185.0,clfpoly2,QUEENS
2,3,3.9,2017,8306.0,clfpoly2,QUEENS
3,4,3.7,2017,8008.0,clfpoly2,QUEENS
4,5,3.8,2017,9129.0,clfpoly2,QUEENS
5,6,4.0,2017,8713.0,clfpoly2,QUEENS
6,7,4.4,2017,9009.0,clfpoly2,QUEENS
7,8,4.5,2017,9022.0,clfpoly2,QUEENS
8,9,4.0,2017,8576.0,clfpoly2,QUEENS
9,10,3.9,2017,8858.0,clfpoly2,QUEENS
10,11,3.6,2017,7586.0,clfpoly2,QUEENS
11,12,3.5,2017,7420.0,clfpoly2,QUEENS
12,1,4.1,2018,6999.0,clfpoly2,QUEENS
13,2,4.1,2018,6387.0,clfpoly2,QUEENS
14,3,3.8,2018,7468.0,clfpoly2,QUEENS
15,4,3.4,2018,7784.0,clfpoly2,QUEENS
16,5,3.1,2018,8292.0,clfpoly2,QUEENS
17,6,3.7,2018,8186.0,clfpoly2,QUEENS
18,7,3.8,2018,8754.0,clfpoly2,QUEENS
19,8,3.7,2018,8627.0,clfpoly2,QUEENS
20,9,3.3,2018,7987.0,clfpoly2,QUEENS
21,10,3.5,2018,8079.0,clfpoly2,QUEENS
22,11,3.3,2018,7377.0,clfpoly2,QUEENS
23,12,3.5,2018,7043.0,clfpoly2,QUEENS
24,1,4.3,2019,6309.0,clfpoly2,QUEENS
25,2,4.0,2019,6713.0,clfpoly2,QUEENS
26,3,3.7,2019,7057.0,clfpoly2,QUEENS
27,4,3.2,2019,7289.0,clfpoly2,QUEENS
28,5,3.7,2019,7705.0,clfpoly2,QUEENS
29,6,3.7,2019,7865.0,clfpoly2,QUEENS
30,7,3.9,2019,7966.0,clfpoly2,QUEENS
31,8,3.8,2019,7877.0,clfpoly2,QUEENS
32,9,3.3,2019,7657.0,clfpoly2,QUEENS
33,10,3.5,2019,7401.0,clfpoly2,QUEENS
34,11,3.3,2019,7030.0,clfpoly2,QUEENS
35,12,3.5,2019,6538.0,clfpoly2,QUEENS
36,1,4.3,2020,5828.0,clfpoly2,QUEENS
37,2,4.0,2020,6232.0,clfpoly2,QUEENS
38,3,3.7,2020,6576.0,clfpoly2,QUEENS
39,4,3.2,2020,6809.0,clfpoly2,QUEENS
40,5,3.7,2020,7226.0,clfpoly2,QUEENS
41,6,3.7,2020,7386.0,clfpoly2,QUEENS
42,7,3.9,2020,7487.0,clfpoly2,QUEENS
43,8,3.8,2020,7399.0,clfpoly2,QUEENS
44,9,3.3,2020,7180.0,clfpoly2,QUEENS
45,10,3.5,2020,6924.0,clfpoly2,QUEENS
46,11,3.3,2020,6553.0,clfpoly2,QUEENS
47,12,3.5,2020,6062.0,clfpoly2,QUEENS
48,1,4.3,2021,5346.0,clfpoly2,QUEENS
49,2,4.0,2021,5751.0,clfpoly2,QUEENS
50,3,3.7,2021,6096.0,clfpoly2,QUEENS
51,4,3.2,2021,6329.0,clfpoly2,QUEENS
52,5,3.7,2021,6746.0,clfpoly2,QUEENS
53,6,3.7,2021,6907.0,clfpoly2,QUEENS
54,7,3.9,2021,7009.0,clfpoly2,QUEENS
55,8,3.8,2021,6921.0,clfpoly2,QUEENS
56,9,3.3,2021,6702.0,clfpoly2,QUEENS
57,10,3.5,2021,6447.0,clfpoly2,QUEENS
58,11,3.3,2021,6077.0,clfpoly2,QUEENS
59,12,3.5,2021,5585.0,clfpoly2,QUEENS
60,1,4.3,2022,4864.0,clfpoly2,QUEENS
61,2,4.0,2022,5270.0,clfpoly2,QUEENS
62,3,3.7,2022,5615.0,clfpoly2,QUEENS
63,4,3.2,2022,5849.0,clfpoly2,QUEENS
64,5,3.7,2022,6266.0,clfpoly2,QUEENS
65,6,3.7,2022,6428.0,clfpoly2,QUEENS
66,7,3.9,2022,6530.0,clfpoly2,QUEENS
67,8,3.8,2022,6443.0,clfpoly2,QUEENS
68,9,3.3,2022,6224.0,clfpoly2,QUEENS
69,10,3.5,2022,5969.0,clfpoly2,QUEENS
70,11,3.3,2022,5600.0,clfpoly2,QUEENS
71,12,3.5,2022,5109.0,clfpoly2,QUEENS
