,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8276.0,knn,QUEENS
1,2,4.4,2017,7185.0,knn,QUEENS
2,3,3.9,2017,8306.0,knn,QUEENS
3,4,3.7,2017,8008.0,knn,QUEENS
4,5,3.8,2017,9129.0,knn,QUEENS
5,6,4.0,2017,8713.0,knn,QUEENS
6,7,4.4,2017,9009.0,knn,QUEENS
7,8,4.5,2017,9022.0,knn,QUEENS
8,9,4.0,2017,8576.0,knn,QUEENS
9,10,3.9,2017,8858.0,knn,QUEENS
10,11,3.6,2017,7586.0,knn,QUEENS
11,12,3.5,2017,7420.0,knn,QUEENS
12,1,4.1,2018,6999.0,knn,QUEENS
13,2,4.1,2018,6387.0,knn,QUEENS
14,3,3.8,2018,7468.0,knn,QUEENS
15,4,3.4,2018,7784.0,knn,QUEENS
16,5,3.1,2018,8292.0,knn,QUEENS
17,6,3.7,2018,8186.0,knn,QUEENS
18,7,3.8,2018,8754.0,knn,QUEENS
19,8,3.7,2018,8627.0,knn,QUEENS
20,9,3.3,2018,7987.0,knn,QUEENS
21,10,3.5,2018,8079.0,knn,QUEENS
22,11,3.3,2018,7377.0,knn,QUEENS
23,12,3.5,2018,7043.0,knn,QUEENS
24,1,4.3,2019,7783.0,knn,QUEENS
25,2,4.0,2019,7783.0,knn,QUEENS
26,3,3.7,2019,7783.0,knn,QUEENS
27,4,3.2,2019,7946.0,knn,QUEENS
28,5,3.7,2019,8365.0,knn,QUEENS
29,6,3.7,2019,8552.0,knn,QUEENS
30,7,3.9,2019,8630.0,knn,QUEENS
31,8,3.8,2019,8581.0,knn,QUEENS
32,9,3.3,2019,8388.0,knn,QUEENS
33,10,3.5,2019,8058.0,knn,QUEENS
34,11,3.3,2019,8058.0,knn,QUEENS
35,12,3.5,2019,8058.0,knn,QUEENS
36,1,4.3,2020,7783.0,knn,QUEENS
37,2,4.0,2020,7783.0,knn,QUEENS
38,3,3.7,2020,7774.0,knn,QUEENS
39,4,3.2,2020,8103.0,knn,QUEENS
40,5,3.7,2020,8327.0,knn,QUEENS
41,6,3.7,2020,8397.0,knn,QUEENS
42,7,3.9,2020,8630.0,knn,QUEENS
43,8,3.8,2020,8581.0,knn,QUEENS
44,9,3.3,2020,8191.0,knn,QUEENS
45,10,3.5,2020,8031.0,knn,QUEENS
46,11,3.3,2020,8058.0,knn,QUEENS
47,12,3.5,2020,8058.0,knn,QUEENS
48,1,4.3,2021,7783.0,knn,QUEENS
49,2,4.0,2021,7783.0,knn,QUEENS
50,3,3.7,2021,7774.0,knn,QUEENS
51,4,3.2,2021,7931.0,knn,QUEENS
52,5,3.7,2021,8135.0,knn,QUEENS
53,6,3.7,2021,8395.0,knn,QUEENS
54,7,3.9,2021,8445.0,knn,QUEENS
55,8,3.8,2021,8391.0,knn,QUEENS
56,9,3.3,2021,8251.0,knn,QUEENS
57,10,3.5,2021,8031.0,knn,QUEENS
58,11,3.3,2021,8031.0,knn,QUEENS
59,12,3.5,2021,8058.0,knn,QUEENS
60,1,4.3,2022,7783.0,knn,QUEENS
61,2,4.0,2022,7689.0,knn,QUEENS
62,3,3.7,2022,7774.0,knn,QUEENS
63,4,3.2,2022,7931.0,knn,QUEENS
64,5,3.7,2022,8135.0,knn,QUEENS
65,6,3.7,2022,8395.0,knn,QUEENS
66,7,3.9,2022,8445.0,knn,QUEENS
67,8,3.8,2022,8391.0,knn,QUEENS
68,9,3.3,2022,8251.0,knn,QUEENS
69,10,3.5,2022,8031.0,knn,QUEENS
70,11,3.3,2022,8031.0,knn,QUEENS
71,12,3.5,2022,8031.0,knn,QUEENS
