,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8276.0,lr,QUEENS
1,2,4.4,2017,7185.0,lr,QUEENS
2,3,3.9,2017,8306.0,lr,QUEENS
3,4,3.7,2017,8008.0,lr,QUEENS
4,5,3.8,2017,9129.0,lr,QUEENS
5,6,4.0,2017,8713.0,lr,QUEENS
6,7,4.4,2017,9009.0,lr,QUEENS
7,8,4.5,2017,9022.0,lr,QUEENS
8,9,4.0,2017,8576.0,lr,QUEENS
9,10,3.9,2017,8858.0,lr,QUEENS
10,11,3.6,2017,7586.0,lr,QUEENS
11,12,3.5,2017,7420.0,lr,QUEENS
12,1,4.1,2018,6999.0,lr,QUEENS
13,2,4.1,2018,6387.0,lr,QUEENS
14,3,3.8,2018,7468.0,lr,QUEENS
15,4,3.4,2018,7784.0,lr,QUEENS
16,5,3.1,2018,8292.0,lr,QUEENS
17,6,3.7,2018,8186.0,lr,QUEENS
18,7,3.8,2018,8754.0,lr,QUEENS
19,8,3.7,2018,8627.0,lr,QUEENS
20,9,3.3,2018,7987.0,lr,QUEENS
21,10,3.5,2018,8079.0,lr,QUEENS
22,11,3.3,2018,7377.0,lr,QUEENS
23,12,3.5,2018,7043.0,lr,QUEENS
24,1,4.3,2019,8276.0,lr,QUEENS
25,2,4.0,2019,6999.0,lr,QUEENS
26,3,3.7,2019,7468.0,lr,QUEENS
27,4,3.2,2019,8292.0,lr,QUEENS
28,5,3.7,2019,8292.0,lr,QUEENS
29,6,3.7,2019,8292.0,lr,QUEENS
30,7,3.9,2019,9009.0,lr,QUEENS
31,8,3.8,2019,9022.0,lr,QUEENS
32,9,3.3,2019,7987.0,lr,QUEENS
33,10,3.5,2019,7377.0,lr,QUEENS
34,11,3.3,2019,7043.0,lr,QUEENS
35,12,3.5,2019,7420.0,lr,QUEENS
36,1,4.3,2020,8276.0,lr,QUEENS
37,2,4.0,2020,6999.0,lr,QUEENS
38,3,3.7,2020,7468.0,lr,QUEENS
39,4,3.2,2020,8292.0,lr,QUEENS
40,5,3.7,2020,8292.0,lr,QUEENS
41,6,3.7,2020,8292.0,lr,QUEENS
42,7,3.9,2020,9009.0,lr,QUEENS
43,8,3.8,2020,9022.0,lr,QUEENS
44,9,3.3,2020,7987.0,lr,QUEENS
45,10,3.5,2020,7377.0,lr,QUEENS
46,11,3.3,2020,7043.0,lr,QUEENS
47,12,3.5,2020,7420.0,lr,QUEENS
48,1,4.3,2021,8276.0,lr,QUEENS
49,2,4.0,2021,6999.0,lr,QUEENS
50,3,3.7,2021,7468.0,lr,QUEENS
51,4,3.2,2021,8292.0,lr,QUEENS
52,5,3.7,2021,8292.0,lr,QUEENS
53,6,3.7,2021,8292.0,lr,QUEENS
54,7,3.9,2021,9009.0,lr,QUEENS
55,8,3.8,2021,9022.0,lr,QUEENS
56,9,3.3,2021,7987.0,lr,QUEENS
57,10,3.5,2021,7377.0,lr,QUEENS
58,11,3.3,2021,7043.0,lr,QUEENS
59,12,3.5,2021,7420.0,lr,QUEENS
60,1,4.3,2022,8276.0,lr,QUEENS
61,2,4.0,2022,6999.0,lr,QUEENS
62,3,3.7,2022,7468.0,lr,QUEENS
63,4,3.2,2022,8292.0,lr,QUEENS
64,5,3.7,2022,8292.0,lr,QUEENS
65,6,3.7,2022,8292.0,lr,QUEENS
66,7,3.9,2022,9009.0,lr,QUEENS
67,8,3.8,2022,9022.0,lr,QUEENS
68,9,3.3,2022,7987.0,lr,QUEENS
69,10,3.5,2022,7377.0,lr,QUEENS
70,11,3.3,2022,7043.0,lr,QUEENS
71,12,3.5,2022,7420.0,lr,QUEENS
