,Month,Unemp_rate,year,rate,model,borough
0,1,4.5,2017,8276.0,rf,QUEENS
1,2,4.4,2017,7185.0,rf,QUEENS
2,3,3.9,2017,8306.0,rf,QUEENS
3,4,3.7,2017,8008.0,rf,QUEENS
4,5,3.8,2017,9129.0,rf,QUEENS
5,6,4.0,2017,8713.0,rf,QUEENS
6,7,4.4,2017,9009.0,rf,QUEENS
7,8,4.5,2017,9022.0,rf,QUEENS
8,9,4.0,2017,8576.0,rf,QUEENS
9,10,3.9,2017,8858.0,rf,QUEENS
10,11,3.6,2017,7586.0,rf,QUEENS
11,12,3.5,2017,7420.0,rf,QUEENS
12,1,4.1,2018,6999.0,rf,QUEENS
13,2,4.1,2018,6387.0,rf,QUEENS
14,3,3.8,2018,7468.0,rf,QUEENS
15,4,3.4,2018,7784.0,rf,QUEENS
16,5,3.1,2018,8292.0,rf,QUEENS
17,6,3.7,2018,8186.0,rf,QUEENS
18,7,3.8,2018,8754.0,rf,QUEENS
19,8,3.7,2018,8627.0,rf,QUEENS
20,9,3.3,2018,7987.0,rf,QUEENS
21,10,3.5,2018,8079.0,rf,QUEENS
22,11,3.3,2018,7377.0,rf,QUEENS
23,12,3.5,2018,7043.0,rf,QUEENS
24,1,4.3,2019,7249.0,rf,QUEENS
25,2,4.0,2019,6822.0,rf,QUEENS
26,3,3.7,2019,7744.0,rf,QUEENS
27,4,3.2,2019,7866.0,rf,QUEENS
28,5,3.7,2019,8164.0,rf,QUEENS
29,6,3.7,2019,8176.0,rf,QUEENS
30,7,3.9,2019,8634.0,rf,QUEENS
31,8,3.8,2019,8545.0,rf,QUEENS
32,9,3.3,2019,8020.0,rf,QUEENS
33,10,3.5,2019,7857.0,rf,QUEENS
34,11,3.3,2019,7479.0,rf,QUEENS
35,12,3.5,2019,7258.0,rf,QUEENS
36,1,4.3,2020,7249.0,rf,QUEENS
37,2,4.0,2020,6822.0,rf,QUEENS
38,3,3.7,2020,7744.0,rf,QUEENS
39,4,3.2,2020,7866.0,rf,QUEENS
40,5,3.7,2020,8164.0,rf,QUEENS
41,6,3.7,2020,8176.0,rf,QUEENS
42,7,3.9,2020,8634.0,rf,QUEENS
43,8,3.8,2020,8545.0,rf,QUEENS
44,9,3.3,2020,8020.0,rf,QUEENS
45,10,3.5,2020,7857.0,rf,QUEENS
46,11,3.3,2020,7479.0,rf,QUEENS
47,12,3.5,2020,7258.0,rf,QUEENS
48,1,4.3,2021,7249.0,rf,QUEENS
49,2,4.0,2021,6822.0,rf,QUEENS
50,3,3.7,2021,7744.0,rf,QUEENS
51,4,3.2,2021,7866.0,rf,QUEENS
52,5,3.7,2021,8164.0,rf,QUEENS
53,6,3.7,2021,8176.0,rf,QUEENS
54,7,3.9,2021,8634.0,rf,QUEENS
55,8,3.8,2021,8545.0,rf,QUEENS
56,9,3.3,2021,8020.0,rf,QUEENS
57,10,3.5,2021,7857.0,rf,QUEENS
58,11,3.3,2021,7479.0,rf,QUEENS
59,12,3.5,2021,7258.0,rf,QUEENS
60,1,4.3,2022,7249.0,rf,QUEENS
61,2,4.0,2022,6822.0,rf,QUEENS
62,3,3.7,2022,7744.0,rf,QUEENS
63,4,3.2,2022,7866.0,rf,QUEENS
64,5,3.7,2022,8164.0,rf,QUEENS
65,6,3.7,2022,8176.0,rf,QUEENS
66,7,3.9,2022,8634.0,rf,QUEENS
67,8,3.8,2022,8545.0,rf,QUEENS
68,9,3.3,2022,8020.0,rf,QUEENS
69,10,3.5,2022,7857.0,rf,QUEENS
70,11,3.3,2022,7479.0,rf,QUEENS
71,12,3.5,2022,7258.0,rf,QUEENS
