,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,1811.0,clfpoly2,STATEN ISLAND
1,2,5.1,2017,1518.0,clfpoly2,STATEN ISLAND
2,3,4.5,2017,1907.0,clfpoly2,STATEN ISLAND
3,4,4.3,2017,1934.0,clfpoly2,STATEN ISLAND
4,5,4.4,2017,2099.0,clfpoly2,STATEN ISLAND
5,6,4.7,2017,2113.0,clfpoly2,STATEN ISLAND
6,7,5.4,2017,1971.0,clfpoly2,STATEN ISLAND
7,8,5.4,2017,2066.0,clfpoly2,STATEN ISLAND
8,9,4.6,2017,2023.0,clfpoly2,STATEN ISLAND
9,10,4.4,2017,1925.0,clfpoly2,STATEN ISLAND
10,11,4.1,2017,1775.0,clfpoly2,STATEN ISLAND
11,12,4.0,2017,1569.0,clfpoly2,STATEN ISLAND
12,1,4.6,2018,1531.0,clfpoly2,STATEN ISLAND
13,2,4.6,2018,1364.0,clfpoly2,STATEN ISLAND
14,3,4.3,2018,1910.0,clfpoly2,STATEN ISLAND
15,4,3.9,2018,1773.0,clfpoly2,STATEN ISLAND
16,5,3.6,2018,2010.0,clfpoly2,STATEN ISLAND
17,6,4.2,2018,1935.0,clfpoly2,STATEN ISLAND
18,7,4.6,2018,2008.0,clfpoly2,STATEN ISLAND
19,8,4.5,2018,1998.0,clfpoly2,STATEN ISLAND
20,9,3.9,2018,1884.0,clfpoly2,STATEN ISLAND
21,10,3.9,2018,1950.0,clfpoly2,STATEN ISLAND
22,11,3.7,2018,1674.0,clfpoly2,STATEN ISLAND
23,12,3.9,2018,1677.0,clfpoly2,STATEN ISLAND
24,1,4.8,2019,1376.0,clfpoly2,STATEN ISLAND
25,2,4.5,2019,1540.0,clfpoly2,STATEN ISLAND
26,3,4.1,2019,1675.0,clfpoly2,STATEN ISLAND
27,4,3.6,2019,1778.0,clfpoly2,STATEN ISLAND
28,5,4.1,2019,1848.0,clfpoly2,STATEN ISLAND
29,6,4.1,2019,1888.0,clfpoly2,STATEN ISLAND
30,7,4.6,2019,1884.0,clfpoly2,STATEN ISLAND
31,8,4.4,2019,1867.0,clfpoly2,STATEN ISLAND
32,9,3.9,2019,1828.0,clfpoly2,STATEN ISLAND
33,10,3.9,2019,1745.0,clfpoly2,STATEN ISLAND
34,11,3.7,2019,1638.0,clfpoly2,STATEN ISLAND
35,12,3.9,2019,1486.0,clfpoly2,STATEN ISLAND
36,1,4.8,2020,1279.0,clfpoly2,STATEN ISLAND
37,2,4.5,2020,1443.0,clfpoly2,STATEN ISLAND
38,3,4.1,2020,1577.0,clfpoly2,STATEN ISLAND
39,4,3.6,2020,1681.0,clfpoly2,STATEN ISLAND
40,5,4.1,2020,1751.0,clfpoly2,STATEN ISLAND
41,6,4.1,2020,1791.0,clfpoly2,STATEN ISLAND
42,7,4.6,2020,1788.0,clfpoly2,STATEN ISLAND
43,8,4.4,2020,1770.0,clfpoly2,STATEN ISLAND
44,9,3.9,2020,1731.0,clfpoly2,STATEN ISLAND
45,10,3.9,2020,1649.0,clfpoly2,STATEN ISLAND
46,11,3.7,2020,1541.0,clfpoly2,STATEN ISLAND
47,12,3.9,2020,1390.0,clfpoly2,STATEN ISLAND
48,1,4.8,2021,1181.0,clfpoly2,STATEN ISLAND
49,2,4.5,2021,1346.0,clfpoly2,STATEN ISLAND
50,3,4.1,2021,1480.0,clfpoly2,STATEN ISLAND
51,4,3.6,2021,1584.0,clfpoly2,STATEN ISLAND
52,5,4.1,2021,1654.0,clfpoly2,STATEN ISLAND
53,6,4.1,2021,1694.0,clfpoly2,STATEN ISLAND
54,7,4.6,2021,1691.0,clfpoly2,STATEN ISLAND
55,8,4.4,2021,1673.0,clfpoly2,STATEN ISLAND
56,9,3.9,2021,1635.0,clfpoly2,STATEN ISLAND
57,10,3.9,2021,1552.0,clfpoly2,STATEN ISLAND
58,11,3.7,2021,1445.0,clfpoly2,STATEN ISLAND
59,12,3.9,2021,1293.0,clfpoly2,STATEN ISLAND
60,1,4.8,2022,1084.0,clfpoly2,STATEN ISLAND
61,2,4.5,2022,1248.0,clfpoly2,STATEN ISLAND
62,3,4.1,2022,1383.0,clfpoly2,STATEN ISLAND
63,4,3.6,2022,1487.0,clfpoly2,STATEN ISLAND
64,5,4.1,2022,1557.0,clfpoly2,STATEN ISLAND
65,6,4.1,2022,1597.0,clfpoly2,STATEN ISLAND
66,7,4.6,2022,1594.0,clfpoly2,STATEN ISLAND
67,8,4.4,2022,1577.0,clfpoly2,STATEN ISLAND
68,9,3.9,2022,1538.0,clfpoly2,STATEN ISLAND
69,10,3.9,2022,1455.0,clfpoly2,STATEN ISLAND
70,11,3.7,2022,1348.0,clfpoly2,STATEN ISLAND
71,12,3.9,2022,1197.0,clfpoly2,STATEN ISLAND
