,Unemp_rate,Unemp_rate,Unemp_rate,Unemp_rate,Unemp_rate,Unemp_rate,rate,rate,rate,rate,rate,rate
year,2017,2018,2019,2020,2021,2022,2017,2018,2019,2020,2021,2022
Month,,,,,,,,,,,,
1,5.1,4.6,4.8,4.08,3.8,3.53,1811.0,1531.0,1531.0,1531.0,1531.0,1531.0
2,5.1,4.6,4.5,4.02,3.75,3.47,1518.0,1364.0,1531.0,1531.0,1531.0,1531.0
3,4.5,4.3,4.1,3.96,3.69,3.41,1907.0,1910.0,1773.0,1773.0,1773.0,2010.0
4,4.3,3.9,3.6,3.9,3.63,3.36,1934.0,1773.0,2010.0,2010.0,2010.0,2010.0
5,4.4,3.6,4.1,3.85,3.57,3.3,2099.0,2010.0,2010.0,2010.0,2010.0,2010.0
6,4.7,4.2,4.1,3.79,3.51,3.24,2113.0,1935.0,2010.0,2010.0,2010.0,2010.0
7,5.4,4.6,4.6,3.73,3.46,3.18,1971.0,2008.0,1971.0,2010.0,2010.0,2010.0
8,5.4,4.5,4.4,3.67,3.4,3.12,2066.0,1998.0,1998.0,1884.0,2010.0,2010.0
9,4.6,3.9,3.89,3.62,3.34,3.07,2023.0,1884.0,1884.0,1884.0,1884.0,1884.0
10,4.4,3.9,3.83,3.56,3.28,3.01,1925.0,1950.0,1674.0,1674.0,1674.0,1674.0
11,4.1,3.7,3.77,3.5,3.23,2.95,1775.0,1674.0,1677.0,1674.0,1674.0,1674.0
12,4.0,3.9,3.72,3.44,3.17,2.89,1569.0,1677.0,1677.0,1677.0,1677.0,1677.0
