,Month,Unemp_rate,year,rate,model,borough
0,1,5.1,2017,1811.0,rf,STATEN ISLAND
1,2,5.1,2017,1518.0,rf,STATEN ISLAND
2,3,4.5,2017,1907.0,rf,STATEN ISLAND
3,4,4.3,2017,1934.0,rf,STATEN ISLAND
4,5,4.4,2017,2099.0,rf,STATEN ISLAND
5,6,4.7,2017,2113.0,rf,STATEN ISLAND
6,7,5.4,2017,1971.0,rf,STATEN ISLAND
7,8,5.4,2017,2066.0,rf,STATEN ISLAND
8,9,4.6,2017,2023.0,rf,STATEN ISLAND
9,10,4.4,2017,1925.0,rf,STATEN ISLAND
10,11,4.1,2017,1775.0,rf,STATEN ISLAND
11,12,4.0,2017,1569.0,rf,STATEN ISLAND
12,1,4.6,2018,1531.0,rf,STATEN ISLAND
13,2,4.6,2018,1364.0,rf,STATEN ISLAND
14,3,4.3,2018,1910.0,rf,STATEN ISLAND
15,4,3.9,2018,1773.0,rf,STATEN ISLAND
16,5,3.6,2018,2010.0,rf,STATEN ISLAND
17,6,4.2,2018,1935.0,rf,STATEN ISLAND
18,7,4.6,2018,2008.0,rf,STATEN ISLAND
19,8,4.5,2018,1998.0,rf,STATEN ISLAND
20,9,3.9,2018,1884.0,rf,STATEN ISLAND
21,10,3.9,2018,1950.0,rf,STATEN ISLAND
22,11,3.7,2018,1674.0,rf,STATEN ISLAND
23,12,3.9,2018,1677.0,rf,STATEN ISLAND
24,1,4.8,2019,1587.0,rf,STATEN ISLAND
25,2,4.5,2019,1396.0,rf,STATEN ISLAND
26,3,4.1,2019,1830.0,rf,STATEN ISLAND
27,4,3.6,2019,1921.0,rf,STATEN ISLAND
28,5,4.1,2019,1945.0,rf,STATEN ISLAND
29,6,4.1,2019,1929.0,rf,STATEN ISLAND
30,7,4.6,2019,2010.0,rf,STATEN ISLAND
31,8,4.4,2019,1960.0,rf,STATEN ISLAND
32,9,3.9,2019,1909.0,rf,STATEN ISLAND
33,10,3.9,2019,1935.0,rf,STATEN ISLAND
34,11,3.7,2019,1712.0,rf,STATEN ISLAND
35,12,3.9,2019,1686.0,rf,STATEN ISLAND
36,1,4.8,2020,1587.0,rf,STATEN ISLAND
37,2,4.5,2020,1396.0,rf,STATEN ISLAND
38,3,4.1,2020,1830.0,rf,STATEN ISLAND
39,4,3.6,2020,1921.0,rf,STATEN ISLAND
40,5,4.1,2020,1945.0,rf,STATEN ISLAND
41,6,4.1,2020,1929.0,rf,STATEN ISLAND
42,7,4.6,2020,2010.0,rf,STATEN ISLAND
43,8,4.4,2020,1960.0,rf,STATEN ISLAND
44,9,3.9,2020,1909.0,rf,STATEN ISLAND
45,10,3.9,2020,1935.0,rf,STATEN ISLAND
46,11,3.7,2020,1712.0,rf,STATEN ISLAND
47,12,3.9,2020,1686.0,rf,STATEN ISLAND
48,1,4.8,2021,1587.0,rf,STATEN ISLAND
49,2,4.5,2021,1396.0,rf,STATEN ISLAND
50,3,4.1,2021,1830.0,rf,STATEN ISLAND
51,4,3.6,2021,1921.0,rf,STATEN ISLAND
52,5,4.1,2021,1945.0,rf,STATEN ISLAND
53,6,4.1,2021,1929.0,rf,STATEN ISLAND
54,7,4.6,2021,2010.0,rf,STATEN ISLAND
55,8,4.4,2021,1960.0,rf,STATEN ISLAND
56,9,3.9,2021,1909.0,rf,STATEN ISLAND
57,10,3.9,2021,1935.0,rf,STATEN ISLAND
58,11,3.7,2021,1712.0,rf,STATEN ISLAND
59,12,3.9,2021,1686.0,rf,STATEN ISLAND
60,1,4.8,2022,1587.0,rf,STATEN ISLAND
61,2,4.5,2022,1396.0,rf,STATEN ISLAND
62,3,4.1,2022,1830.0,rf,STATEN ISLAND
63,4,3.6,2022,1921.0,rf,STATEN ISLAND
64,5,4.1,2022,1945.0,rf,STATEN ISLAND
65,6,4.1,2022,1929.0,rf,STATEN ISLAND
66,7,4.6,2022,2010.0,rf,STATEN ISLAND
67,8,4.4,2022,1960.0,rf,STATEN ISLAND
68,9,3.9,2022,1909.0,rf,STATEN ISLAND
69,10,3.9,2022,1935.0,rf,STATEN ISLAND
70,11,3.7,2022,1712.0,rf,STATEN ISLAND
71,12,3.9,2022,1686.0,rf,STATEN ISLAND
