New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
Queens County 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,4.3%,4%,3.7%,3.2%,3.7%,3.7%,3.9%,3.8%,,,,,,
2018,4.1%,4.1%,3.8%,3.4%,3.1%,3.7%,3.8%,3.7%,3.3%,3.5%,3.3%,3.5%,3.6%,
2017,4.5%,4.4%,3.9%,3.7%,3.8%,4%,4.4%,4.5%,4%,3.9%,3.6%,3.5%,4%,
2016,4.9%,4.9%,4.7%,4.2%,4%,4.5%,4.9%,4.9%,4.7%,4.6%,4.1%,3.9%,4.5%,
2015,6.1%,5.9%,5.3%,5%,5.1%,4.9%,5.1%,4.8%,4.4%,4.6%,4.6%,4.5%,5%,
2014,7.3%,7.5%,7.1%,6.1%,6.4%,6.3%,6.7%,6.4%,5.8%,5.8%,5.8%,5.4%,6.4%,
2013,8.8%,8.3%,7.6%,7.2%,7.6%,8%,8.1%,7.9%,7.6%,7.9%,7.2%,6.7%,7.7%,
2012,8.9%,9.1%,8.5%,7.9%,8.3%,8.6%,8.8%,8.3%,7.6%,7.9%,7.6%,7.9%,8.3%,
2011,8.4%,8.3%,7.7%,7.4%,7.6%,8.1%,8.2%,8.2%,8.2%,8.4%,8.3%,8.3%,8.1%,
2010,9.6%,9.4%,9.1%,8.6%,8.4%,8.5%,8.7%,8.5%,8.2%,8.3%,8.3%,7.9%,8.6%,
2009,7.2%,7.8%,7.9%,7.6%,8.1%,8.6%,8.9%,8.9%,8.9%,9.2%,8.9%,8.9%,8.4%,
2008,5.1%,4.8%,4.5%,4%,4.5%,4.7%,5.1%,5.2%,5.1%,5.5%,5.6%,6.2%,5%,
2007,4.7%,4.5%,4%,4%,4.2%,4.6%,5.1%,4.7%,4.5%,4.6%,4.4%,4.6%,4.5%,
