New York State and Labor Market Regions and Metropolitan Areas
Counties and Municipalities of at Least 25000 Population
Data Source: Local Area Unemployment Statistics Program
Richmond County 
(Data are not seasonally adjusted. Data are preliminary and subject to revision.) 
UNEMPLOYMENT RATE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,4.8%,4.5%,4.1%,3.6%,4.1%,4.1%,4.6%,4.4%,,,,,,
2018,4.6%,4.6%,4.3%,3.9%,3.6%,4.2%,4.6%,4.5%,3.9%,3.9%,3.7%,3.9%,4.1%,
2017,5.1%,5.1%,4.5%,4.3%,4.4%,4.7%,5.4%,5.4%,4.6%,4.4%,4.1%,4%,4.7%,
2016,5.6%,5.5%,5.4%,4.9%,4.6%,5.2%,5.9%,5.8%,5.4%,5.3%,4.7%,4.5%,5.2%,
2015,7.1%,6.8%,6.2%,5.8%,5.9%,5.7%,6.2%,5.7%,5.1%,5.3%,5.2%,5.2%,5.8%,
2014,8.4%,8.6%,8.2%,7.1%,7.4%,7.4%,8.1%,7.7%,6.7%,6.7%,6.7%,6.2%,7.4%,
2013,10%,9.5%,8.7%,8.2%,8.7%,9.3%,9.6%,9.5%,8.9%,9.1%,8.3%,7.8%,9%,
2012,10%,10.1%,9.5%,8.8%,9.3%,9.8%,10.4%,9.7%,8.9%,9.1%,8.8%,9.1%,9.5%,
2011,9.4%,9.3%,8.7%,8.4%,8.6%,9.2%,9.7%,9.6%,9.3%,9.4%,9.2%,9.3%,9.2%,
2010,10.2%,10.1%,9.8%,9.3%,9%,9.2%,9.9%,9.7%,9.1%,9.1%,9.1%,8.7%,9.4%,
2009,7%,7.5%,7.5%,7.5%,7.7%,8.3%,9%,9%,8.7%,8.9%,8.6%,8.7%,8.2%,
2008,5%,4.8%,4.5%,4%,4.5%,4.7%,5.5%,5.7%,5.2%,5.5%,5.5%,6%,5.1%,
2007,4.7%,4.5%,4.1%,4.1%,4.2%,4.6%,5.5%,5.1%,4.6%,4.6%,4.4%,4.5%,4.6%,
2006,4.8%,5.1%,4.6%,4.4%,4.4%,4.4%,5.3%,4.8%,4%,3.9%,4%,3.8%,4.5%,
2005,5.5%,5.6%,5.1%,4.9%,4.9%,5%,5.7%,5.4%,5.4%,5.3%,5.4%,4.9%,5.3%,
2004,7.6%,7.2%,7.3%,6.5%,6.3%,6.7%,7%,6.5%,5.7%,5.7%,5.4%,5.3%,6.4%,
2003,7.9%,7.7%,7.3%,7%,6.8%,7.7%,8%,8.2%,7.4%,7.2%,7.6%,7%,7.5%,
2002,6.8%,6.8%,6.8%,6.7%,6.6%,6.9%,7.5%,7.4%,6.5%,6.9%,7.2%,7.3%,6.9%,
2001,4.8%,4.7%,4.5%,4.5%,4.1%,4.4%,5%,5.7%,5.4%,5.8%,6%,6.1%,5.1%,
2000,5.7%,5.7%,5.6%,4.9%,5%,4.8%,5.5%,5.4%,4.7%,4.6%,4.6%,4.3%,5.1%,

1999,5.9%,6.1%,5.4%,5.3%,5.1%,5.6%,7.3%,6.7%,5.9%,5.6%,5.2%,4.8%,5.8%,
1998,7.9%,8%,7.9%,7.2%,6.4%,6.4%,7.3%,7.1%,6.3%,6.3%,5.9%,5.6%,6.9%,
1997,8.8%,9%,8.7%,8.5%,8.7%,8.7%,9.4%,9.2%,8.1%,7.6%,7.2%,6.9%,8.4%,
1996,7.8%,7.6%,7.7%,7.8%,7.6%,7.3%,8.7%,8.1%,7.6%,7.7%,7.9%,7.8%,7.8%,
1995,7%,7.3%,7.4%,7.6%,7.4%,7.6%,8.3%,8.1%,7.6%,7.5%,7.1%,6.7%,7.5%,
1994,9.4%,9.1%,8.5%,8%,7.4%,7.6%,8.6%,8.2%,7.1%,7%,6.7%,6.1%,7.8%,
1993,9.9%,10%,9.1%,8.9%,8.9%,9%,10.5%,9.4%,9.3%,9.7%,9.2%,8.6%,9.4%,
1992,9.6%,10%,9.4%,9.2%,9.7%,10.2%,11.3%,10.7%,10.2%,9.8%,9.6%,9.2%,9.9%,
1991,6.9%,7.2%,7.3%,7%,7.7%,7.6%,8.1%,8.2%,7.8%,8.3%,10.1%,8.9%,7.9%,
1990,5.9%,6%,6%,5.8%,5.6%,5.6%,6.5%,6.4%,6.3%,6.4%,7%,6.2%,6.1%,
LABOR FORCE
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg,
2019,219800,220700,220900,219000,218700,218800,220200,219300,,,,,,
2018,219600,222400,221700,219600,219100,220500,222700,220400,219500,221100,220200,220600,220600,
2017,220600,222400,221900,220900,220400,221100,224200,222800,222000,221200,219600,219300,221400,
2016,220900,222700,222500,220500,219500,220700,223700,222700,221800,221900,220000,219700,221400,
2015,220200,221400,220000,219100,219400,218700,220700,219000,217700,219500,218900,219300,219500,
2014,218600,221000,220700,217800,218700,218600,221600,220200,218900,220600,220300,219100,219700,
2013,220700,220800,219500,218700,219700,220600,223100,222300,221900,222600,221900,221000,221100,
2012,217200,219100,218100,216300,217200,217600,219800,218200,217900,219800,218400,219300,218200,
2011,215500,216400,215800,215300,214600,214800,217600,218000,217500,218300,218400,218600,216700,
2010,216800,217500,217700,218100,216600,215900,218300,217800,216200,216500,216400,215600,217000,
2009,246100,247100,245800,245700,244200,246000,250100,248700,245200,245600,244800,243700,246100,
2008,242600,243000,242900,242200,241900,243200,246900,246500,244700,245900,245100,244900,244200,
2007,238700,239200,238900,237600,237300,239100,243000,240900,239800,240800,241100,241100,239800,
